billboard_position,song_name,artist,year,genre,genres,song_popularity,song_type
1,Breathe,Faith Hill,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",51.0,Solo
1,Breathe,Faith Hill,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",52.0,Solo
1,Breathe,Faith Hill,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",59.0,Collaboration
1,Breathe,Faith Hill,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",62.0,Solo
1,Breathe,Faith Hill,2000,contemporary country,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",55.0,Collaboration
2,Smooth,Santana,2000,blues-rock,"['blues-rock', 'classic rock', 'rock']",58.0,Solo
2,Smooth,Rob Thomas,2000,acoustic pop,"['acoustic pop', 'neo mellow', 'pop rock', 'post-grunge']",58.0,Solo
3,Maria Maria,Santana,2000,blues-rock,"['blues-rock', 'classic rock', 'rock']",,
3,Maria Maria,The Product G&B,2000,-,[],,
4,I Wanna Know,Joe,2000,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",63.0,Solo
5,Everything You Want,Vertical Horizon,2000,neo mellow,"['neo mellow', 'pop rock', 'post-grunge']",63.0,Solo
5,Everything You Want,Vertical Horizon,2000,neo mellow,"['neo mellow', 'pop rock', 'post-grunge']",4.0,Solo
6,Say My Name,Destiny's Child,2000,dance pop,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",75.0,Solo
7,I Knew I Loved You,Savage Garden,2000,australian pop,"['australian pop', 'boy band', 'dance pop', 'europop', 'pop rock']",61.0,Solo
8,Amazed,Lonestar,2000,contemporary country,"['contemporary country', 'country', 'country road']",64.0,Solo
9,Bent,Matchbox Twenty,2000,neo mellow,"['neo mellow', 'pop rock', 'post-grunge']",51.0,Solo
10,He Wasn't Man Enough,Toni Braxton,2000,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'quiet storm', 'r&b', 'urban contemporary']",63.0,Solo
11,Higher,Creed,2000,alternative metal,"['alternative metal', 'alternative rock', 'nu metal', 'pop rock', 'post-grunge', 'rap rock', 'rock']",66.0,Solo
12,Try Again,Aaliyah,2000,dance pop,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",56.0,Solo
12,Try Again,Aaliyah,2000,dance pop,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",33.0,Solo
12,Try Again,Aaliyah,2000,-,[],56.0,Solo
12,Try Again,Aaliyah,2000,-,[],33.0,Solo
13,"Jumpin', Jumpin'",Destiny's Child,2000,dance pop,"['dance pop', 'girl group', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",70.0,Solo
14,Thong Song,Sisqó,2000,,,64.0,Solo
15,Kryptonite,3 Doors Down,2000,alternative metal,"['alternative metal', 'nu metal', 'pop punk', 'pop rock', 'post-grunge']",76.0,Solo
16,There You Go,Pink,2000,,,52.0,Solo
16,There You Go,Pink,2000,,,16.0,Solo
17,Music,Madonna,2000,dance pop,['dance pop'],55.0,Solo
17,Music,Madonna,2000,dance pop,['dance pop'],32.0,Solo
17,Music,Madonna,2000,dance pop,['dance pop'],51.0,Collaboration
18,Doesn't Really Matter,Janet Jackson,2000,dance pop,"['dance pop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'r&b', 'urban contemporary']",40.0,Solo
19,What a Girl Wants,Christina Aguilera,2000,dance pop,"['dance pop', 'europop', 'pop', 'post-teen pop', 'uk pop']",61.0,Solo
20,Back at One,Brian McKnight,2000,dance pop,"['dance pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",24.0,Solo
