billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs
Jay-Z,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,"hip hop, east coast hip hop, rap","['hip hop', 'east coast hip hop', 'rap']",NAME_MISMATCH - verify correct artist,22,"2000, 2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2012, 2013, 2014, 2016",Big Pimpin' | Fiesta | Izzo (H.O.V.A.)
Pink,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,"progressive rock, psychedelic rock, classic rock, art rock, rock","['progressive rock', 'psychedelic rock', 'classic rock', 'art rock', 'rock']",NAME_MISMATCH - verify correct artist,21,"2000, 2001, 2002, 2006, 2007, 2008, 2009, 2011, 2012, 2013, 2017, 2019, 2021",There You Go | Most Girls | Lady Marmalade
Doja Cat,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,,NA,NO_GENRES - artist has no genre tags,17,"2020, 2021, 2022, 2023",Say So | Juicy | Kiss Me More
R. Kelly,R. Kelly,2mxe0TnaNL039ysAj51xPQ,r&b,['r&b'],OK,17,"2001, 2002, 2003, 2004, 2005, 2007, 2014",Fiesta | Contagious | I Wish
DaBaby,DaBaby,4r63FhuTkUYltbVAg5TQnk,,NA,NO_GENRES - artist has no genre tags,11,"2019, 2020, 2021",Suge | Baby | Cash Shit
Megan Thee Stallion,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,,NA,NO_GENRES - artist has no genre tags,10,"2019, 2020, 2021, 2022",Cash Shit | Hot Girl Summer | Savage
Juice Wrld,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"melodic rap, emo rap","['melodic rap', 'emo rap']",NAME_MISMATCH - verify correct artist,8,"2018, 2019, 2020",Lucid Dreams | Robbery | Come & Go
Pharrell,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,,NA,NAME_MISMATCH - verify correct artist,7,"2002, 2003, 2004, 2005, 2006, 2007","Pass the Courvoisier, Part II | Frontin' | Beautiful"
Olivia Rodrigo,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,,NA,NO_GENRES - artist has no genre tags,6,"2021, 2022, 2023",Good 4 U | Drivers License | Deja Vu
P. Diddy,Diddy,59wfkuBoNyhDMQGCljbUbA,"hip hop, east coast hip hop","['hip hop', 'east coast hip hop']",NAME_MISMATCH - verify correct artist,6,"2002, 2003, 2004","I Need a Girl (Part One) | I Need a Girl (Part Two) | Pass the Courvoisier, Part II"
Pop Smoke,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,"brooklyn drill, new york drill, drill","['brooklyn drill', 'new york drill', 'drill']",OK,6,"2020, 2021",For the Night | The Woo | Mood Swings
Lainey Wilson,Lainey Wilson,6tPHARSq45lQ8BSALCfkFC,country,['country'],OK,5,"2021, 2022, 2023",Things a Man Oughta Know | Never Say Never | Wait in the Truck
Pussycat Dolls,The Pussycat Dolls,6wPhSqRtPu1UhRCDX5yaDJ,,NA,NAME_MISMATCH - verify correct artist,5,"2006, 2008, 2009",Buttons | Stickwitu | Beep
Ty Dolla Sign,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,trap soul,['trap soul'],NAME_MISMATCH - verify correct artist,5,"2016, 2017, 2018, 2019",Work from Home | Sucker for Pain | Swalla
Young Jeezy,Jeezy,4yBK75WVCQXej1p04GWqxH,"southern hip hop, crunk, rap, gangster rap","['southern hip hop', 'crunk', 'rap', 'gangster rap']",NAME_MISMATCH - verify correct artist,5,"2005, 2006, 2007, 2008",Soul Survivor | Go Getta | Love in This Club
Bailey Zimmerman,Bailey Zimmerman,3win9vGIxFfBRag9S63wwf,country,['country'],OK,4,"2022, 2023",Fall in Love | Rock and a Hard Place | Religiously
Dev,Devlin,7Ks3elJhSP20mD04lgiA68,"grime, uk grime","['grime', 'uk grime']",NAME_MISMATCH - verify correct artist,4,"2010, 2011",Like a G6 | In the Dark | Backseat
