billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs,issue,suggested_genres,suggested_musicoset_format
Doja Cat,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,NA,NA,NO_GENRES - artist has no genre tags,17,"2020, 2021, 2022, 2023",Say So | Juicy | Kiss Me More,no_genres,"pop, dance pop","['pop', 'dance pop']"
DaBaby,DaBaby,4r63FhuTkUYltbVAg5TQnk,NA,NA,NO_GENRES - artist has no genre tags,11,"2019, 2020, 2021",Suge | Baby | Cash Shit,no_genres,"r&b, urban contemporary","['r&b', 'urban contemporary']"
Megan Thee Stallion,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,NA,NA,NO_GENRES - artist has no genre tags,10,"2019, 2020, 2021, 2022",Cash Shit | Hot Girl Summer | Savage,no_genres,"pop, dance pop","['pop', 'dance pop']"
Olivia Rodrigo,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,NA,NA,NO_GENRES - artist has no genre tags,6,"2021, 2022, 2023",Good 4 U | Drivers License | Deja Vu,no_genres,"pop, dance pop","['pop', 'dance pop']"
Ice Spice,Ice Spice,3LZZPxNDGDFVSIPqf4JuEf,NA,NA,NO_GENRES - artist has no genre tags,4,2023,Boy's a Liar Pt. 2 | Karma | Barbie World,no_genres,"pop, dance pop","['pop', 'dance pop']"
Jack Harlow,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,NA,NA,NO_GENRES - artist has no genre tags,4,"2020, 2021, 2022",Whats Poppin | Industry Baby | First Class,no_genres,"r&b, urban contemporary","['r&b', 'urban contemporary']"
Lizzo,Lizzo,56oDRnqbIiwx4mymNEv7dS,NA,NA,NO_GENRES - artist has no genre tags,4,"2019, 2020, 2022",Truth Hurts | Good as Hell | About Damn Time,no_genres,"pop, dance pop","['pop', 'dance pop']"
Colby O'Donis,Colby O'Donis,7fObcBw9VM3x7ntWKCYl0z,NA,NA,NO_GENRES - artist has no genre tags,3,"2008, 2009",What You Got | Just Dance | Beautiful,no_genres,"pop, dance pop","['pop', 'dance pop']"
Latto,Latto,3MdXrJWsbVzdn6fe5JYkSQ,NA,NA,NO_GENRES - artist has no genre tags,3,"2022, 2023",Big Energy | Seven | Put It on da Floor Again,no_genres,"hip hop, rap","['hip hop', 'rap']"
Polo G,Polo G,6AgTAQt8XS6jRWi4sX7w49,NA,NA,NO_GENRES - artist has no genre tags,3,"2019, 2021, 2022",Pop Out | Rapstar | Better Days,no_genres,"pop, dance pop","['pop', 'dance pop']"
Rod Wave,Rod Wave,45TgXXqMDdF8BkjA83OM7z,NA,NA,NO_GENRES - artist has no genre tags,3,"2020, 2021",Heart on Ice | Rags2Riches | Tombstone,no_genres,"pop, dance pop","['pop', 'dance pop']"
