billboard_name,spotify_name,spotify_id,genres_original,genres_musicoset_format,needs_review,song_count,years_active,sample_songs,issue,suggested_genres,suggested_musicoset_format
Doja Cat,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,"pop rap, r&b, hip hop","['pop rap', 'r&b', 'hip hop']",GENRES_ADDED,17,"2020, 2021, 2022, 2023",Say So | Juicy | Kiss Me More,no_genres,"pop rap, r&b, hip hop","['pop rap', 'r&b', 'hip hop']"
DaBaby,DaBaby,4r63FhuTkUYltbVAg5TQnk,"hip hop, rap, trap","['hip hop', 'rap', 'trap']",GENRES_ADDED,11,"2019, 2020, 2021",Suge | Baby | Cash Shit,no_genres,"hip hop, rap, trap","['hip hop', 'rap', 'trap']"
Megan Thee Stallion,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,"hip hop, rap, southern hip hop","['hip hop', 'rap', 'southern hip hop']",GENRES_ADDED,10,"2019, 2020, 2021, 2022",Cash Shit | Hot Girl Summer | Savage,no_genres,"hip hop, rap, southern hip hop","['hip hop', 'rap', 'southern hip hop']"
Olivia Rodrigo,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,"pop, pop rock, alternative pop","['pop', 'pop rock', 'alternative pop']",GENRES_ADDED,6,"2021, 2022, 2023",Good 4 U | Drivers License | Deja Vu,no_genres,"pop, pop rock, alternative pop","['pop', 'pop rock', 'alternative pop']"
Ice Spice,Ice Spice,3LZZPxNDGDFVSIPqf4JuEf,"hip hop, bronx drill, rap","['hip hop', 'bronx drill', 'rap']",GENRES_ADDED,4,2023,Boy's a Liar Pt. 2 | Karma | Barbie World,no_genres,"hip hop, bronx drill, rap","['hip hop', 'bronx drill', 'rap']"
Jack Harlow,Jack Harlow,2LIk90788K0zvyj2JJVwkJ,"hip hop, rap, pop rap","['hip hop', 'rap', 'pop rap']",GENRES_ADDED,4,"2020, 2021, 2022",Whats Poppin | Industry Baby | First Class,no_genres,"hip hop, rap, pop rap","['hip hop', 'rap', 'pop rap']"
Lizzo,Lizzo,56oDRnqbIiwx4mymNEv7dS,"pop, r&b, hip hop","['pop', 'r&b', 'hip hop']",GENRES_ADDED,4,"2019, 2020, 2022",Truth Hurts | Good as Hell | About Damn Time,no_genres,"pop, r&b, hip hop","['pop', 'r&b', 'hip hop']"
Colby O'Donis,Colby O'Donis,7fObcBw9VM3x7ntWKCYl0z,"pop, r&b","['pop', 'r&b']",GENRES_ADDED,3,"2008, 2009",What You Got | Just Dance | Beautiful,no_genres,"pop, r&b","['pop', 'r&b']"
Latto,Latto,3MdXrJWsbVzdn6fe5JYkSQ,"hip hop, rap, southern hip hop","['hip hop', 'rap', 'southern hip hop']",GENRES_ADDED,3,"2022, 2023",Big Energy | Seven | Put It on da Floor Again,no_genres,"hip hop, rap, southern hip hop","['hip hop', 'rap', 'southern hip hop']"
Polo G,Polo G,6AgTAQt8XS6jRWi4sX7w49,"hip hop, rap, melodic rap","['hip hop', 'rap', 'melodic rap']",GENRES_ADDED,3,"2019, 2021, 2022",Pop Out | Rapstar | Better Days,no_genres,"hip hop, rap, melodic rap","['hip hop', 'rap', 'melodic rap']"
Rod Wave,Rod Wave,45TgXXqMDdF8BkjA83OM7z,"hip hop, melodic rap, r&b","['hip hop', 'melodic rap', 'r&b']",GENRES_ADDED,3,"2020, 2021",Heart on Ice | Rags2Riches | Tombstone,no_genres,"hip hop, melodic rap, r&b","['hip hop', 'melodic rap', 'r&b']"
The Cataracs,The Cataracs,7C64wNX3howEFZjAYRKsfP,"electronic, electropop, dance","['electronic', 'electropop', 'dance']",GENRES_ADDED,3,"2010, 2011",Like a G6 | Backseat,no_genres,"electronic, electropop, dance","['electronic', 'electropop', 'dance']"
24kGoldn,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,"hip hop, pop rap","['hip hop', 'pop rap']",GENRES_ADDED,2,"2020, 2021",Mood,no_genres,"hip hop, pop rap","['hip hop', 'pop rap']"
Alex Band,Alex Band,6QEAuf6FEo9WJ3sm2vpJ5m,"rock, post-grunge, alternative rock","['rock', 'post-grunge', 'alternative rock']",GENRES_ADDED,2,"2003, 2004",Why Don't You & I,no_genres,"rock, post-grunge, alternative rock","['rock', 'post-grunge', 'alternative rock']"
Black Eyed Peas,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,"hip hop, pop, electronic","['hip hop', 'pop', 'electronic']",GENRES_ADDED,2,"2003, 2020",Where Is the Love? | Ritmo (Bad Boys for Life),no_genres,"hip hop, pop, electronic","['hip hop', 'pop', 'electronic']"
Coi Leray,Coi Leray,6AMd49uBDJfhf30Ak2QR5s,"hip hop, rap","['hip hop', 'rap']",GENRES_ADDED,2,"2021, 2023",No More Parties | Players,no_genres,"hip hop, rap","['hip hop', 'rap']"
DRAM,DRAM,5M0lbkGluOPXLeFjApw8r8,"r&b, hip hop, funk","['r&b', 'hip hop', 'funk']",GENRES_ADDED,2,"2016, 2017",Broccoli,no_genres,"r&b, hip hop, funk","['r&b', 'hip hop', 'funk']"
GoonRock,GoonRock,53sIBaVjXQhfH89Vu6nEGh,"electronic, electro house, dance","['electronic', 'electro house', 'dance']",GENRES_ADDED,2,"2011, 2012",Party Rock Anthem,no_genres,"electronic, electro house, dance","['electronic', 'electro house', 'dance']"
Kim Petras,Kim Petras,3Xt3RrJMFv5SZkCfUE8C1J,"pop, dance pop, electropop","['pop', 'dance pop', 'electropop']",GENRES_ADDED,2,"2022, 2023",Unholy,no_genres,"pop, dance pop, electropop","['pop', 'dance pop', 'electropop']"
Lauren Bennett,Lauren Bennett,2jLE4BoXHriQ96JagEtiDP,"dance pop, electronic, pop","['dance pop', 'electronic', 'pop']",GENRES_ADDED,2,"2011, 2012",Party Rock Anthem,no_genres,"dance pop, electronic, pop","['dance pop', 'electronic', 'pop']"
NLE Choppa,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,"hip hop, rap, memphis rap","['hip hop', 'rap', 'memphis rap']",GENRES_ADDED,2,"2019, 2020",Shotta Flow | Walk Em Down,no_genres,"hip hop, rap, memphis rap","['hip hop', 'rap', 'memphis rap']"
Pooh Shiesty,Pooh Shiesty,5F1aAS1duwlzExnPs3l2Xe,"hip hop, trap, memphis rap","['hip hop', 'trap', 'memphis rap']",GENRES_ADDED,2,2021,Back in Blood | Beat Box,no_genres,"hip hop, trap, memphis rap","['hip hop', 'trap', 'memphis rap']"
Saweetie,Saweetie,6cK3NBO6uP7hh0oyuVELFl,"hip hop, rap","['hip hop', 'rap']",GENRES_ADDED,2,"2019, 2021",My Type | Best Friend,no_genres,"hip hop, rap","['hip hop', 'rap']"
Shaed,Shaed,62hlGp8kKJMHLMY6EsHKeQ,"indie pop, electropop","['indie pop', 'electropop']",GENRES_ADDED,2,"2019, 2020",Trampoline,no_genres,"indie pop, electropop","['indie pop', 'electropop']"
Silk Sonic,Silk Sonic,6PvvGcCY2XtUcSRld1Wilr,"r&b, soul, funk","['r&b', 'soul', 'funk']",GENRES_ADDED,2,"2021, 2022",Leave the Door Open | Smokin out the Window,no_genres,"r&b, soul, funk","['r&b', 'soul', 'funk']"
Sisqó,Sisqó,3b3Y10Oso9so2J5JZNyh3u,"r&b, pop","['r&b', 'pop']",GENRES_ADDED,2,2000,Thong Song | Incomplete,no_genres,"r&b, pop","['r&b', 'pop']"
Steve Lacy,Steve Lacy,57vWImR43h4CaDao012Ofp,"r&b, funk, indie pop","['r&b', 'funk', 'indie pop']",GENRES_ADDED,2,"2022, 2023",Bad Habit,no_genres,"r&b, funk, indie pop","['r&b', 'funk', 'indie pop']"
Tate McRae,Tate McRae,45dkTj5sMRSjrmBSBeiHym,"pop, dance pop","['pop', 'dance pop']",GENRES_ADDED,2,"2021, 2022",You Broke Me First | She's All I Wanna Be,no_genres,"pop, dance pop","['pop', 'dance pop']"
Too Short,Too Short,3B1hEK4xKbJVNEhB6qTScQ,"hip hop, west coast rap, g-funk","['hip hop', 'west coast rap', 'g-funk']",GENRES_ADDED,2,"2006, 2014",Bossy | Loyal,no_genres,"hip hop, west coast rap, g-funk","['hip hop', 'west coast rap', 'g-funk']"
'N Sync,'N Sync,7b2BqxGdAQcsRqNYhhvvJZ,"pop, boy band, dance pop","['pop', 'boy band', 'dance pop']",GENRES_ADDED,1,2000,It's Gonna Be Me,no_genres,"pop, boy band, dance pop","['pop', 'boy band', 'dance pop']"
070 Shake,070 Shake,12Zk1DFhCbHY6v3xep2ZjI,"alternative r&b, hip hop, experimental","['alternative r&b', 'hip hop', 'experimental']",GENRES_ADDED,1,2023,Escapism,no_genres,"alternative r&b, hip hop, experimental","['alternative r&b', 'hip hop', 'experimental']"
42 Dugg,42 Dugg,45gHcnDnMC15sgx3VL7ROG,"hip hop, detroit rap, trap","['hip hop', 'detroit rap', 'trap']",GENRES_ADDED,1,2020,We Paid,no_genres,"hip hop, detroit rap, trap","['hip hop', 'detroit rap', 'trap']"
Adassa,Adassa,72kqSqk124Vnl1wtT6q9Fh,"latin pop, reggaeton","['latin pop', 'reggaeton']",GENRES_ADDED,1,2022,We Don't Talk About Bruno,no_genres,"latin pop, reggaeton","['latin pop', 'reggaeton']"
Arizona Zervas,Arizona Zervas,0vRvGUQVUjytro0xpb26bs,"hip hop, pop rap","['hip hop', 'pop rap']",GENRES_ADDED,1,2020,Roxanne,no_genres,"hip hop, pop rap","['hip hop', 'pop rap']"
BRS Kash,BRS Kash,5jJjvmEwRr8epuGZq4eUUa,"hip hop, rap, southern hip hop","['hip hop', 'rap', 'southern hip hop']",GENRES_ADDED,1,2021,Throat Baby (Go Baby),no_genres,"hip hop, rap, southern hip hop","['hip hop', 'rap', 'southern hip hop']"
Bipolar Sunshine,Bipolar Sunshine,0CjWKoS55T7DOt0HJuwF1H,"indie pop, electronic","['indie pop', 'electronic']",GENRES_ADDED,1,2016,Middle,no_genres,"indie pop, electronic","['indie pop', 'electronic']"
Blueface,Blueface,3Fl1V19tmjt57oBdxXKAjJ,"hip hop, west coast rap","['hip hop', 'west coast rap']",GENRES_ADDED,1,2019,Thotiana,no_genres,"hip hop, west coast rap","['hip hop', 'west coast rap']"
Brendon Urie,Brendon Urie,6eYFryfcEu3QSq59D62wZQ,"pop rock, emo, alternative rock","['pop rock', 'emo', 'alternative rock']",GENRES_ADDED,1,2019,Me!,no_genres,"pop rock, emo, alternative rock","['pop rock', 'emo', 'alternative rock']"
CJ,CJ,02GmR27EYUG8oYH3oHpOCO,"hip hop, drill, rap","['hip hop', 'drill', 'rap']",GENRES_ADDED,1,2021,Whoopty,no_genres,"hip hop, drill, rap","['hip hop', 'drill', 'rap']"
Cash Out,Cash Out,1GUUilbHrYtNuHToDI73gn,"hip hop, trap, southern hip hop","['hip hop', 'trap', 'southern hip hop']",GENRES_ADDED,1,2012,Cashin' Out,no_genres,"hip hop, trap, southern hip hop","['hip hop', 'trap', 'southern hip hop']"
City Spud,City Spud,3L2SIGZah4QZSvN4wC8rHl,"hip hop, rap, midwest rap","['hip hop', 'rap', 'midwest rap']",GENRES_ADDED,1,2001,Ride wit Me,no_genres,"hip hop, rap, midwest rap","['hip hop', 'rap', 'midwest rap']"
DHT,DHT,7lVtH5UmhLGyfN9iS2FFk7,"eurodance, electronic, dance","['eurodance', 'electronic', 'dance']",GENRES_ADDED,1,2005,Listen to Your Heart,no_genres,"eurodance, electronic, dance","['eurodance', 'electronic', 'dance']"
DJ Frank E,DJ Frank E,4yt2wdqvcHygghx9iNUb6i,"electronic, dance, hip hop","['electronic', 'dance', 'hip hop']",GENRES_ADDED,1,2011,Tonight (I'm Lovin' You),no_genres,"electronic, dance, hip hop","['electronic', 'dance', 'hip hop']"
David Kushner,David Kushner,33NVpKoXjItPwUJTMZIOiY,"pop, indie pop, soft rock","['pop', 'indie pop', 'soft rock']",GENRES_ADDED,1,2023,Daylight,no_genres,"pop, indie pop, soft rock","['pop', 'indie pop', 'soft rock']"
Diane Guerrero,Diane Guerrero,18MFcGBHtyW0mU3ufcm0X1,"musical theatre, soundtrack","['musical theatre', 'soundtrack']",GENRES_ADDED,1,2022,We Don't Talk About Bruno,no_genres,"musical theatre, soundtrack","['musical theatre', 'soundtrack']"
Doechii,Doechii,4E2rKHVDssGJm2SCDOMMJB,"hip hop, rap","['hip hop', 'rap']",GENRES_ADDED,1,2023,What It Is (Block Boy),no_genres,"hip hop, rap","['hip hop', 'rap']"
Don Toliver,Don Toliver,4Gso3d4CscCijv0lmajZWs,"hip hop, trap, r&b","['hip hop', 'trap', 'r&b']",GENRES_ADDED,1,2021,Lemonade,no_genres,"hip hop, trap, r&b","['hip hop', 'trap', 'r&b']"
Eden's Crush,Eden's Crush,48VMsTwTzdzKc1aKcMnIbH,,,NO_GENRES - artist has no genre tags,1,2001,Get Over Yourself,no_genres,"pop, dance pop","['pop', 'dance pop']"
Edmee,Edmee,2Bn9Kf2NC3mJfExuN9DMdE,,,NO_GENRES - artist has no genre tags,1,2005,Listen to Your Heart,no_genres,"electronic, edm, dance pop","['electronic', 'edm', 'dance pop']"
Elliott Yamin,Elliott Yamin,4am1I89OWXUzFh4ctRLkdd,,,NO_GENRES - artist has no genre tags,1,2007,Wait for You,no_genres,"pop, dance pop","['pop', 'dance pop']"
Em Beihold,Em Beihold,7o2ZQYM7nTsaVdkXY38UAA,,,NO_GENRES - artist has no genre tags,1,2022,Numb Little Bug,no_genres,"pop, dance pop","['pop', 'dance pop']"
Eric Nally,Eric Nally,3NoeRIxHApi6qe4yan2Vnn,,,NO_GENRES - artist has no genre tags,1,2015,Downtown,no_genres,"pop, dance pop","['pop', 'dance pop']"
Eric Turner,Eric Turner,79DOwuMzV2h4es3em0t002,,,NO_GENRES - artist has no genre tags,1,2011,Written in the Stars,no_genres,"pop, dance pop","['pop', 'dance pop']"
GloRilla,GloRilla,2qoQgPAilErOKCwE2Y8wOG,,,NO_GENRES - artist has no genre tags,1,2023,Tomorrow 2,no_genres,"pop, dance pop","['pop', 'dance pop']"
Grace Potter,Grace Potter,1PJVVIeS5Wu0wbZDhtC0Ht,,,NO_GENRES - artist has no genre tags,1,2011,You and Tequila,no_genres,"pop, dance pop","['pop', 'dance pop']"
Hollis,Hollis,28KOnhhvUnyvgRNXEQ41WL,,,NO_GENRES - artist has no genre tags,1,2014,White Walls,no_genres,"pop, dance pop","['pop', 'dance pop']"
Internet Money,Internet Money,6MPCFvOQv5cIGfw3jODMF0,,,NO_GENRES - artist has no genre tags,1,2021,Lemonade,no_genres,"pop, dance pop","['pop', 'dance pop']"
JID,JID,6U3ybJ9UHNKEdsH7ktGBZ7,,,NO_GENRES - artist has no genre tags,1,2022,Enemy,no_genres,"pop, dance pop","['pop', 'dance pop']"
JP Saxe,JP Saxe,66W9LaWS0DPdL7Sz8iYGYe,,,NO_GENRES - artist has no genre tags,1,2020,If the World Was Ending,no_genres,"pop, dance pop","['pop', 'dance pop']"
Jake Scott,Jake Scott,0DxPHf2flBAcV2SnZPg3SV,,,NO_GENRES - artist has no genre tags,1,2022,She Likes It,no_genres,"pop, dance pop","['pop', 'dance pop']"
Jawsh 685,Jawsh 685,56mfhUDKa1vec6rSLZV5Eg,,,NO_GENRES - artist has no genre tags,1,2020,Savage Love (Laxed – Siren Beat),no_genres,"electronic, edm, dance pop","['electronic', 'edm', 'dance pop']"
Jennifer Lawrence,Jennifer Lawrence,3oCIYpmkFw8KGWwMNPKgXh,,,NO_GENRES - artist has no genre tags,1,2015,The Hanging Tree,no_genres,"pop, dance pop","['pop', 'dance pop']"
Jessica Darrow,Jessica Darrow,4vdAAzZBUKbsrvHi6UR7B7,,,NO_GENRES - artist has no genre tags,1,2022,Surface Pressure,no_genres,"pop, dance pop","['pop', 'dance pop']"
Jonah Matranga,Jonah Matranga,3Ztgr9y1L9ZfoIOEsCrZEb,,,NO_GENRES - artist has no genre tags,1,2006,Where'd You Go,no_genres,"pop, dance pop","['pop', 'dance pop']"
Josey Scott,Josey Scott,5mNloTgSaf5qCyk48t9NSP,,,NO_GENRES - artist has no genre tags,1,2002,Hero,no_genres,"pop, dance pop","['pop', 'dance pop']"
Kaliii,Kaliii,1YRqgFNXqRyMDRr8ClS1NL,,,NO_GENRES - artist has no genre tags,1,2023,Area Codes,no_genres,"pop, dance pop","['pop', 'dance pop']"
Kandi Girl,Kandi Girl,41TccBHnkaVhhgCgl83JU8,,,NO_GENRES - artist has no genre tags,1,2006,U and Dat,no_genres,"pop, dance pop","['pop', 'dance pop']"
Kevin McCall,Kevin McCall,2teIxF2qgr0rYmTTMKiZ7s,,,NO_GENRES - artist has no genre tags,1,2010,Deuces,no_genres,"pop, dance pop","['pop', 'dance pop']"
Kyjuan,Kyjuan,6kD993mKIytiN9sE6VyRfa,"hip hop, rap, midwest rap","['hip hop', 'rap', 'midwest rap']",GENRES_ADDED,1,2003,Air Force Ones,no_genres,"hip hop, rap, midwest rap","['hip hop', 'rap', 'midwest rap']"
Lil' Romeo,Lil' Romeo,2AXQzJRDvlJrq0fiVAnRy8,"hip hop, rap","['hip hop', 'rap']",GENRES_ADDED,1,2001,My Baby,no_genres,"hip hop, rap","['hip hop', 'rap']"
Los Lonely Boys,Los Lonely Boys,4aSEmLLxLX9wR5aLMllOKj,"rock, tex-mex, blues rock","['rock', 'tex-mex', 'blues rock']",GENRES_ADDED,1,2004,Heaven,no_genres,"rock, tex-mex, blues rock","['rock', 'tex-mex', 'blues rock']"
Mae Muller,Mae Muller,1BEUkE2CSUgHTLSBMZdnFB,"pop, electropop","['pop', 'electropop']",GENRES_ADDED,1,2022,Better Days,no_genres,"pop, electropop","['pop', 'electropop']"
Mary Lambert,Mary Lambert,5Z2NUZiY3FA00HKu5WTMhA,"indie pop, singer-songwriter","['indie pop', 'singer-songwriter']",GENRES_ADDED,1,2013,Same Love,no_genres,"indie pop, singer-songwriter","['indie pop', 'singer-songwriter']"
Masked Wolf,Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,"hip hop, rap","['hip hop', 'rap']",GENRES_ADDED,1,2021,Astronaut in the Ocean,no_genres,"hip hop, rap","['hip hop', 'rap']"
