from,to,weight
hip hop,rap,308
pop rap,rap,274
dance pop,pop,275
mellow gold,soft rock,243
album rock,rock,239
pop rap,southern hip hop,237
r&b,urban contemporary,224
hip hop,pop rap,222
rap,southern hip hop,217
indie rock,modern rock,212
classic rock,rock,211
alternative metal,nu metal,201
hard rock,rock,197
southern hip hop,trap music,189
folk rock,mellow gold,182
rap,trap music,182
contemporary country,country,182
indie pop,modern rock,181
hip hop,southern hip hop,187
pop rap,trap music,179
gangster rap,rap,179
dance rock,new wave,177
album rock,classic rock,176
mellow gold,rock,174
alternative metal,post-grunge,174
gangster rap,hip hop,173
folk rock,singer-songwriter,171
folk,singer-songwriter,170
dance rock,new wave pop,168
album rock,hard rock,164
folk-pop,indie folk,162
contemporary country,country road,158
funk,quiet storm,157
indie pop,indie rock,155
hardcore hip hop,hip hop,155
country,country road,154
funk,soul,153
album rock,mellow gold,152
dance rock,new romantic,152
quiet storm,urban contemporary,152
gangster rap,pop rap,149
hip pop,urban contemporary,149
new jack swing,urban contemporary,149
new romantic,new wave pop,148
hip pop,r&b,148
classic rock,folk rock,146
pop,post-teen pop,145
dance pop,post-teen pop,145
blues-rock,classic rock,144
album rock,soft rock,143
new romantic,new wave,143
gangster rap,southern hip hop,144
classic rock,mellow gold,142
rock,soft rock,142
nu metal,post-grunge,142
folk,folk rock,141
new wave,new wave pop,140
motown,soul,139
folk rock,rock,138
indie folk,stomp and holler,137
folk rock,soft rock,136
mellow gold,singer-songwriter,133
pop,pop rap,130
neo soul,urban contemporary,130
neo soul,r&b,127
folk-pop,indie pop,126
new jack swing,quiet storm,126
classic soul,soul,126
classic rock,soft rock,125
indie folk,indie pop,125
quiet storm,soul,123
art rock,rock,123
disco,quiet storm,122
dirty south rap,southern hip hop,122
alternative rock,rock,122
classic soul,motown,120
roots rock,singer-songwriter,119
christian music,worship,119
bubblegum pop,folk rock,118
folk rock,roots rock,117
new jack swing,r&b,117
motown,quiet storm,117
folk-pop,stomp and holler,116
alternative metal,rap rock,115
christian alternative rock,christian music,115
ccm,worship,114
neo mellow,pop rock,114
country rock,singer-songwriter,114
country rock,folk rock,113
ccm,christian music,113
disco,funk,112
classic rock,hard rock,111
indie folk,modern rock,111
alternative rock,indie rock,111
nu metal,rap rock,111
chamber pop,indie folk,110
glam metal,hard rock,109
dirty south rap,gangster rap,109
hip hop,trap music,108
chamber pop,folk-pop,107
indie folk,indie rock,107
classic rock,psychedelic rock,106
gangster rap,hardcore hip hop,106
gangster rap,trap music,106
disco,post-disco,106
blues-rock,rock,105
funk,motown,105
dance pop,urban contemporary,104
contemporary country,modern country rock,104
country road,modern country rock,104
folk,mellow gold,103
folk-pop,indie rock,103
alternative rock,modern rock,103
east coast hip hop,hip hop,106
country rock,roots rock,102
nashville sound,traditional country,102
dance pop,r&b,103
indietronica,modern rock,101
emo,pop punk,102
folk-pop,modern rock,100
brill building pop,bubblegum pop,100
indie pop,indietronica,100
hardcore hip hop,rap,100
dirty south rap,pop rap,100
album rock,art rock,99
classic soul,southern soul,99
chamber pop,indie pop,98
indie pop,stomp and holler,98
disco,motown,98
folk,traditional folk,97
folk rock,psychedelic rock,97
singer-songwriter,soft rock,97
alternative hip hop,hip hop,97
funk,post-disco,97
brill building pop,rock-and-roll,96
album rock,folk rock,96
ccm,christian alternative rock,96
east coast hip hop,hardcore hip hop,96
christian alternative rock,worship,96
folk-pop,singer-songwriter,95
art rock,classic rock,95
dance pop,pop rap,95
garage rock,modern rock,95
rock,singer-songwriter,94
dirty south rap,trap music,94
classic soul,funk,94
brill building pop,folk rock,93
folk-pop,lilith,92
classic soul,quiet storm,92
disco,soul,91
new wave pop,soft rock,91
pop,uk pop,91
modern rock,rock,91
soul,southern soul,91
country,modern country rock,91
adult standards,lounge,90
country rock,folk,90
folk,roots rock,90
hard rock,metal,90
modern rock,stomp and holler,90
garage rock,indie rock,90
adult standards,brill building pop,89
pop,rap,89
post-disco,quiet storm,89
art rock,symphonic rock,88
chamber pop,indie rock,87
post-grunge,rock,88
alternative metal,groove metal,87
dance pop,hip pop,87
quiet storm,r&b,87
country rock,mellow gold,86
melodic metalcore,metalcore,86
metalcore,screamo,86
mellow gold,roots rock,85
indie rock,stomp and holler,85
country rock,outlaw country,85
outlaw country,traditional country,85
neo soul,new jack swing,84
classic rock,roots rock,83
classic rock,singer-songwriter,83
new romantic,synthpop,83
alternative rock,post-grunge,84
country gospel,traditional country,83
psychedelic rock,rock,82
pop rock,post-grunge,82
post-grunge,rap rock,82
singer-songwriter,traditional folk,81
chamber pop,stomp and holler,81
hip pop,neo soul,81
bubblegum pop,merseybeat,80
dance pop,uk pop,80
rock,roots rock,80
new wave,synthpop,80
alternative dance,new rave,80
country gospel,nashville sound,80
chamber pop,modern rock,79
groove metal,nu metal,79
classic rock,country rock,78
dance rock,synthpop,78
country rock,traditional country,78
neo soul,quiet storm,78
art rock,folk rock,77
alternative country,roots rock,77
indie rock,indietronica,77
funk,urban contemporary,77
album rock,blues-rock,76
alternative metal,rock,77
folk rock,traditional folk,75
folk-pop,pop rock,75
rock-and-roll,rockabilly,75
indie folk,new americana,74
folk,soft rock,74
metal,rock,74
blues-rock,psychedelic rock,74
alternative rock,pop rock,77
permanent wave,rock,74
hip hop,hip pop,74
art rock,progressive rock,73
pop rock,rock,73
new wave pop,synthpop,73
alternative rock,garage rock,73
art rock,mellow gold,72
progressive rock,symphonic rock,72
mellow gold,new wave pop,72
indietronica,new rave,72
country,country rock,73
country,traditional country,72
art rock,psychedelic rock,71
art rock,dance rock,71
east coast hip hop,rap,73
classic soul,disco,71
anthem worship,ccm,70
blues-rock,hard rock,70
dance rock,rock,70
outlaw country,texas country,70
latin,tropical,70
blues-rock,folk rock,69
folk-pop,new americana,69
indie rock,lo-fi,69
garage rock,rock,69
blues-rock,electric blues,69
brill building pop,merseybeat,68
bubblegum pop,rock-and-roll,68
motown,southern soul,68
country rock,soft rock,67
freak folk,indie rock,67
indie rock,new rave,67
indie rock,noise pop,67
dance-punk,indie rock,67
pop,tropical house,67
pop,r&b,73
atl hip hop,southern hip hop,67
hip pop,new jack swing,67
dirty south rap,rap,67
alternative dance,indietronica,66
dance-punk,new rave,66
alternative hip hop,hardcore hip hop,66
indie rock,rock,66
blues-rock,roots rock,65
acoustic pop,neo mellow,65
folk,folk-pop,65
art rock,soft rock,65
alternative rock,lo-fi,65
groove metal,metal,65
art rock,new wave,65
new americana,stomp and holler,64
modern rock,new rave,64
electropop,pop,66
pop,urban contemporary,64
new wave,rock,64
folk rock,merseybeat,63
merseybeat,rock-and-roll,63
atl hip hop,pop rap,63
anthem worship,worship,62
adult standards,mellow gold,62
art rock,singer-songwriter,62
funk,new jack swing,62
easy listening,lounge,61
bubblegum pop,classic uk pop,61
album rock,singer-songwriter,61
country rock,traditional folk,61
dance-punk,modern rock,61
east coast hip hop,gangster rap,61
hip hop,pop,63
lilith,singer-songwriter,60
adult standards,bubblegum pop,60
adult standards,soft rock,60
atl hip hop,trap music,60
hip pop,pop rap,60
dance pop,neo soul,60
country,country dawn,60
country,outlaw country,60
classic uk pop,folk rock,59
melodic metalcore,screamo,59
album rock,glam metal,59
glam metal,rock,59
anthem worship,christian music,59
metal,speed metal,59
contemporary country,country dawn,59
adult standards,rock-and-roll,58
brill building pop,rockabilly,58
country rock,rock,58
dance rock,soft rock,58
nashville sound,outlaw country,58
art pop,folk-pop,58
country,nashville sound,58
post-teen pop,uk pop,58
freak folk,indie pop,57
modern rock,noise pop,57
dance pop,tropical house,57
folk,lilith,56
adult standards,folk rock,56
bubblegum pop,mellow gold,56
hardcore hip hop,pop rap,56
groove metal,rap rock,56
deep pop r&b,r&b,56
edm,electro house,56
country,country gospel,56
latin,latin pop,56
album rock,psychedelic rock,55
folk,rock,55
