micro_genre,macro_genre
8-bit,ELECTRONIC
a cappella,R&B
abstract beats,ELECTRONIC
abstract hip hop,HIP HOP
acid house,ELECTRONIC
acid jazz,JAZZ
acoustic blues,BLUES
acoustic opm,FOLK
acoustic pop,FOLK
acoustic punk,FOLK
adoracao,OTHER
adult standards,R&B
african rock,ROCK
afrikaans,OTHER
afro dancehall,REGGAE
afro house,ELECTRONIC
afrobeat,LATIN
afropop,LATIN
alabama indie,ROCK
alabama metal,METAL
alabama rap,HIP HOP
alaska indie,REGGAE
alberta country,COUNTRY
album rock,ROCK
albuquerque indie,ROCK
alt-idol,POP
alternative americana,COUNTRY
alternative ccm,ROCK
alternative country,COUNTRY
alternative dance,ROCK
alternative emo,ROCK
alternative hip hop,HIP HOP
alternative metal,METAL
alternative pop,ROCK
alternative pop rock,ROCK
alternative r&b,R&B
alternative rock,ROCK
alternative roots rock,ROCK
ambeat,OTHER
ambient,ELECTRONIC
ambient folk,FOLK
ambient techno,ELECTRONIC
ambient worship,ELECTRONIC
american choir,CLASSICAL
american contemporary classical,CLASSICAL
american folk revival,FOLK
american modern classical,CLASSICAL
american post-rock,ROCK
american romanticism,CLASSICAL
american shoegaze,ROCK
anarcho-punk,ROCK
anglican liturgy,CLASSICAL
anime,CLASSICAL
anime score,CLASSICAL
ann arbor indie,ROCK
anthem emo,ROCK
anthem worship,OTHER
anti-folk,FOLK
antiviral pop,POP
appalachian folk,FOLK
arab folk,FOLK
argentine punk,ROCK
argentine rock,ROCK
arkansas country,COUNTRY
art pop,POP
art rock,ROCK
athens indie,ROCK
atl hip hop,HIP HOP
atl trap,HIP HOP
atlanta indie,HIP HOP
atmosphere,OTHER
atmospheric black metal,METAL
atmospheric post-metal,METAL
atmospheric sludge,METAL
auckland indie,ROCK
audiophile vocal,R&B
aussietronica,OTHER
austindie,ROCK
australian alternative rock,ROCK
australian americana,COUNTRY
australian country,COUNTRY
australian dance,OTHER
australian electropop,ELECTRONIC
australian hip hop,HIP HOP
australian house,ELECTRONIC
australian indie,ROCK
australian jazz,JAZZ
australian metal,METAL
australian metalcore,METAL
australian pop,POP
australian post-hardcore,ELECTRONIC
australian psych,OTHER
australian r&b,R&B
australian reggae fusion,JAZZ
australian rock,ROCK
australian talent show,POP
australian trap,HIP HOP
australian underground hip hop,HIP HOP
austropop,OTHER
avant-garde,AVANT-GARDE
avant-garde jazz,JAZZ
avantgarde metal,METAL
axe,LATIN
azonto,LATIN
bachata,LATIN
background music,NEW AGE
bagpipe,OTHER
baile pop,POP
balearic,ELECTRONIC
ballroom,OTHER
baltimore indie,ROCK
banda,LATIN
banda caliente,LATIN
banjo,FOLK
baroque,CLASSICAL
baroque ensemble,CLASSICAL
baroque pop,CLASSICAL
bass house,ELECTRONIC
bass trap,HIP HOP
bass trip,OTHER
basshall,OTHER
bassline,ELECTRONIC
bath indie,ROCK
baton rouge rap,HIP HOP
battle rap,HIP HOP
bay area indie,HIP HOP
bboy,HIP HOP
beach music,OTHER
bebop,JAZZ
bedroom pop,POP
belgian dance,OTHER
belgian edm,ELECTRONIC
belgian indie,ROCK
belgian modern jazz,JAZZ
belgian pop,POP
belgian rock,ROCK
beninese pop,POP
bergen indie,ROCK
big band,JAZZ
big beat,ELECTRONIC
big room,ELECTRONIC
birmingham grime,ELECTRONIC
birmingham metal,METAL
black metal,METAL
black thrash,METAL
blackgaze,METAL
blaskapelle,OTHER
bluegrass,COUNTRY
blues,BLUES
blues-rock,BLUES
bmore,ELECTRONIC
bolero,LATIN
boogaloo,LATIN
boogie-woogie,JAZZ
boom bap,HIP HOP
bossa nova,JAZZ
bossa nova jazz,JAZZ
boston hardcore,ELECTRONIC
boston hip hop,HIP HOP
boston metal,METAL
boston punk,ROCK
boston rock,ROCK
bounce,HIP HOP
bouzouki,REGGAE
bow pop,POP
boy band,POP
boy pop,POP
brass band,CLASSICAL
brazilian edm,LATIN
brazilian gospel,LATIN
brazilian hip hop,LATIN
brazilian house,LATIN
brazilian indie,LATIN
brazilian metal,METAL
brazilian punk,LATIN
brazilian reggae,REGGAE
brazilian rock,LATIN
brazilian thrash metal,METAL
breakbeat,ELECTRONIC
brighton indie,ROCK
brill building pop,POP
brit funk,R&B
british alternative rock,ROCK
british black metal,METAL
british blues,BLUES
british brass band,CLASSICAL
british choir,CLASSICAL
british comedy,OTHER
british dance band,OTHER
british folk,FOLK
british indie rock,ROCK
british invasion,ROCK
british jazz,JAZZ
british modern classical,CLASSICAL
british post-rock,ROCK
british singer-songwriter,FOLK
british soul,R&B
british soundtrack,CLASSICAL
britpop,ROCK
broadway,OTHER
brooklyn indie,HIP HOP
brostep,ELECTRONIC
brutal death metal,METAL
brutal deathcore,METAL
bubble trance,ELECTRONIC
bubblegum dance,POP
bubblegum pop,POP
buffalo ny indie,ROCK
buffalo ny metal,METAL
c86,ROCK
cabaret,OTHER
cali rap,HIP HOP
calypso,REGGAE
canadian blues,BLUES
canadian ccm,OTHER
canadian celtic,FOLK
canadian classical,CLASSICAL
canadian comedy,OTHER
canadian contemporary country,COUNTRY
canadian contemporary r&b,R&B
canadian country,COUNTRY
canadian electronic,ELECTRONIC
canadian electropop,ELECTRONIC
canadian folk,FOLK
canadian hardcore,ELECTRONIC
canadian hip hop,HIP HOP
canadian indie,ROCK
canadian indigenous,OTHER
canadian latin,LATIN
canadian metal,METAL
canadian modern jazz,JAZZ
canadian pop,POP
canadian pop punk,ROCK
canadian post-hardcore,ELECTRONIC
canadian post-rock,ROCK
canadian punk,ROCK
canadian rock,ROCK
canadian singer-songwriter,FOLK
canadian soundtrack,CLASSICAL
candy pop,POP
cantautor,LATIN
canterbury scene,ROCK
canzone napoletana,LATIN
cape town indie,ROCK
cartoon,CLASSICAL
catstep,OTHER
ccm,OTHER
cedm,ELECTRONIC
cello,CLASSICAL
celtic,FOLK
celtic metal,METAL
celtic punk,FOLK
celtic rock,FOLK
chamber orchestra,CLASSICAL
chamber pop,CLASSICAL
chamber psych,CLASSICAL
champeta,LATIN
channel islands indie,ROCK
channel pop,POP
chanson,OTHER
chanson quebecois,OTHER
chaotic hardcore,ELECTRONIC
charlotte nc indie,ROCK
charlottesville indie,ROCK
chicago blues,BLUES
chicago drill,HIP HOP
chicago hardcore,ELECTRONIC
chicago house,ELECTRONIC
chicago indie,ROCK
chicago pop punk,ROCK
chicago punk,ROCK
chicago rap,HIP HOP
chicago soul,R&B
chicano rap,LATIN
chillhop,ELECTRONIC
chillwave,ELECTRONIC
chinese hip hop,HIP HOP
chinese idol pop,POP
chiptune,ELECTRONIC
choral,CLASSICAL
choro,OTHER
christelijk,OTHER
christian a cappella,R&B
christian alternative rock,ROCK
christian dance,ELECTRONIC
christian deathcore,METAL
christian hard rock,ROCK
christian hardcore,ELECTRONIC
christian hip hop,HIP HOP
christian indie,ROCK
christian metal,METAL
christian music,OTHER
christian pop,POP
christian punk,ROCK
christian relaxative,OTHER
christian rock,ROCK
christian trap,HIP HOP
christian uplift,OTHER
christmas product,OTHER
chutney,LATIN
cincinnati indie,ROCK
cinematic post-rock,ROCK
classic belgian pop,POP
classic bollywood,OTHER
classic canadian rock,ROCK
classic danish pop,POP
classic garage rock,ELECTRONIC
classic girl group,POP
classic greek pop,POP
classic italian pop,POP
classic norwegian pop,POP
classic nz pop,POP
classic opm,OTHER
classic praise,OTHER
classic psychedelic rock,ROCK
classic rock,ROCK
classic russian rock,ROCK
classic schlager,OTHER
classic soul,R&B
classic soundtrack,CLASSICAL
classic swedish pop,POP
classic uk pop,POP
classical,CLASSICAL
classical bass,CLASSICAL
classical cello,CLASSICAL
classical era,CLASSICAL
classical flute,CLASSICAL
classical mandolin,CLASSICAL
classical mezzo-soprano,CLASSICAL
classical organ,CLASSICAL
classical performance,CLASSICAL
classical piano,CLASSICAL
classical soprano,CLASSICAL
classical tenor,CLASSICAL
classical trumpet,CLASSICAL
classify,OTHER
clean comedy,OTHER
cleveland indie,ROCK
collage pop,POP
college a cappella,R&B
colombian pop,LATIN
columbus ohio indie,ROCK
comedienne,OTHER
comedy,OTHER
comedy rock,ROCK
comic,OTHER
comic metal,METAL
complextro,ELECTRONIC
compositional ambient,CLASSICAL
concert band,OTHER
conscious hip hop,HIP HOP
contemporary classical,CLASSICAL
contemporary country,COUNTRY
contemporary gospel,OTHER
contemporary jazz,JAZZ
contemporary post-bop,OTHER
contrabass,OTHER
cool jazz,JAZZ
corrosion,OTHER
cosmic american,OTHER
cosmic post-rock,ROCK
country,COUNTRY
country blues,BLUES
country dawn,COUNTRY
country gospel,COUNTRY
country pop,COUNTRY
country rap,COUNTRY
country road,COUNTRY
country rock,COUNTRY
coventry indie,ROCK
coverchill,OTHER
cowboy western,COUNTRY
cowpunk,ROCK
crossover thrash,METAL
crunk,HIP HOP
crust punk,ROCK
cuban alternative,ROCK
cuban rumba,OTHER
cubaton,OTHER
cumbia,LATIN
cyberpunk,ROCK
czech rock,ROCK
dakke dak,OTHER
dallas indie,ROCK
dance pop,POP
dance rock,ROCK
dance-punk,ROCK
dancehall,REGGAE
danish alternative rock,ROCK
danish hip hop,HIP HOP
danish metal,METAL
danish pop,POP
dansband,OTHER
dansktop,OTHER
dark black metal,METAL
dark cabaret,OTHER
dark jazz,JAZZ
dark techno,ELECTRONIC
dark trap,HIP HOP
dark wave,OTHER
darkstep,OTHER
dc hardcore,ELECTRONIC
death metal,METAL
deathcore,METAL
deathgrass,OTHER
deathgrind,OTHER
deep acoustic pop,FOLK
deep adult standards,R&B
deep big room,ELECTRONIC
deep ccm,OTHER
deep chiptune,ELECTRONIC
deep christian rock,ROCK
deep classic garage rock,ELECTRONIC
deep comedy,OTHER
deep contemporary country,COUNTRY
deep cumbia sonidera,LATIN
deep dance pop,POP
deep disco,R&B
deep disco house,R&B
deep east coast hip hop,HIP HOP
deep euro house,ELECTRONIC
deep eurodance,ELECTRONIC
deep free jazz,JAZZ
deep freestyle,OTHER
deep funk,R&B
deep g funk,R&B
deep german hip hop,HIP HOP
deep gothic post-punk,ROCK
deep groove house,ELECTRONIC
deep house,ELECTRONIC
deep indian pop,POP
deep indie singer-songwriter,FOLK
deep jazz fusion,JAZZ
deep latin christian,LATIN
deep melodic hard rock,ROCK
deep melodic metalcore,METAL
deep minimal techno,ELECTRONIC
deep motown,R&B
deep new americana,COUNTRY
deep new wave,ROCK
deep northern soul,R&B
deep pop edm,ELECTRONIC
deep pop r&b,R&B
deep progressive trance,ELECTRONIC
deep punk rock,ROCK
deep ragga,REGGAE
deep regional mexican,LATIN
deep soft rock,ROCK
deep soundtrack,CLASSICAL
deep southern soul,R&B
deep southern trap,HIP HOP
deep surf music,OTHER
deep talent show,POP
deep tropical house,LATIN
deep underground hip hop,HIP HOP
deep vocal house,R&B
deep vocal jazz,JAZZ
delta blues,BLUES
denpa-kei,OTHER
denton tx indie,ROCK
denver indie,ROCK
derry indie,ROCK
desi hip hop,HIP HOP
desi pop,POP
