billboard_name,spotify_name,spotify_id,genres,popularity,match_status,years_active,first_year,last_year,song_count,sample_songs
Jay-Z,JAY-Z,3nFkdlSjzX9mRTtwJOzDYB,"hip hop, east coast hip hop, rap",84,found,"2000, 2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2012, 2013, 2014, 2016",2000,2016,22,Big Pimpin' | Fiesta | Izzo (H.O.V.A.)
Pink,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,"progressive rock, psychedelic rock, classic rock, art rock, rock",81,found,"2000, 2001, 2002, 2006, 2007, 2008, 2009, 2011, 2012, 2013, 2017, 2019, 2021",2000,2021,21,There You Go | Most Girls | Lady Marmalade
Doja Cat,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,,87,found,"2020, 2021, 2022, 2023",2020,2023,17,Say So | Juicy | Kiss Me More
R. Kelly,R. Kelly,2mxe0TnaNL039ysAj51xPQ,r&b,68,found,"2001, 2002, 2003, 2004, 2005, 2007, 2014",2001,2014,17,Fiesta | Contagious | I Wish
DaBaby,DaBaby,4r63FhuTkUYltbVAg5TQnk,,78,found,"2019, 2020, 2021",2019,2021,11,Suge | Baby | Cash Shit
Megan Thee Stallion,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,,78,found,"2019, 2020, 2021, 2022",2019,2022,10,Cash Shit | Hot Girl Summer | Savage
Juice Wrld,Juice WRLD,4MCBfE4596Uoi2O4DtmEMz,"melodic rap, emo rap",87,found,"2018, 2019, 2020",2018,2020,8,Lucid Dreams | Robbery | Come & Go
Pharrell,Pharrell Williams,2RdwBSPQiwcmiDo9kixcl8,,81,found,"2002, 2003, 2004, 2005, 2006, 2007",2002,2007,7,"Pass the Courvoisier, Part II | Frontin' | Beautiful"
Olivia Rodrigo,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,,86,found,"2021, 2022, 2023",2021,2023,6,Good 4 U | Drivers License | Deja Vu
P. Diddy,Diddy,59wfkuBoNyhDMQGCljbUbA,"hip hop, east coast hip hop",71,found,"2002, 2003, 2004",2002,2004,6,"I Need a Girl (Part One) | I Need a Girl (Part Two) | Pass the Courvoisier, Part II"
