year,macro_genre,song_count,year_total,pct
2000,COUNTRY,43,473,9.090909090909092
2000,ELECTRONIC,2,473,0.42283298097251587
2000,HIP HOP,99,473,20.930232558139537
2000,LATIN,10,473,2.1141649048625792
2000,POP,226,473,47.780126849894295
2000,R&B,28,473,5.9196617336152215
2000,ROCK,65,473,13.742071881606766
2001,COUNTRY,52,582,8.934707903780069
2001,ELECTRONIC,9,582,1.5463917525773196
2001,HIP HOP,112,582,19.243986254295535
2001,LATIN,10,582,1.718213058419244
2001,POP,305,582,52.40549828178695
2001,R&B,27,582,4.639175257731959
2001,ROCK,67,582,11.512027491408935
2002,COUNTRY,36,617,5.834683954619125
2002,ELECTRONIC,11,617,1.7828200972447326
2002,HIP HOP,131,617,21.231766612641813
2002,LATIN,17,617,2.755267423014587
2002,POP,365,617,59.15721231766613
2002,R&B,15,617,2.4311183144246353
2002,ROCK,42,617,6.807131280388978
2003,COUNTRY,55,662,8.308157099697885
2003,HIP HOP,234,662,35.34743202416919
2003,POP,305,662,46.07250755287009
2003,R&B,33,662,4.984894259818732
2003,ROCK,35,662,5.287009063444108
2004,COUNTRY,41,638,6.426332288401254
2004,HIP HOP,324,638,50.78369905956113
2004,POP,222,638,34.79623824451411
2004,R&B,10,638,1.5673981191222568
2004,ROCK,41,638,6.426332288401254
2005,COUNTRY,17,775,2.193548387096774
2005,HIP HOP,300,775,38.70967741935484
2005,LATIN,6,775,0.7741935483870968
2005,POP,376,775,48.516129032258064
2005,R&B,19,775,2.4516129032258065
2005,ROCK,57,775,7.354838709677419
2006,COUNTRY,20,704,2.840909090909091
2006,HIP HOP,315,704,44.74431818181818
2006,LATIN,16,704,2.272727272727273
2006,POP,277,704,39.346590909090914
2006,R&B,9,704,1.278409090909091
2006,ROCK,67,704,9.517045454545455
2007,COUNTRY,6,695,0.8633093525179856
2007,HIP HOP,168,695,24.172661870503596
2007,LATIN,16,695,2.302158273381295
2007,POP,406,695,58.417266187050366
2007,R&B,10,695,1.4388489208633095
2007,ROCK,89,695,12.805755395683452
2008,COUNTRY,6,661,0.9077155824508321
2008,HIP HOP,180,661,27.231467473524962
2008,POP,419,661,63.38880484114977
2008,R&B,13,661,1.9667170953101363
2008,ROCK,43,661,6.505295007564296
2009,COUNTRY,25,564,4.432624113475177
2009,HIP HOP,157,564,27.836879432624112
2009,LATIN,6,564,1.0638297872340425
2009,POP,318,564,56.38297872340425
2009,R&B,5,564,0.8865248226950355
2009,ROCK,53,564,9.397163120567376
2010,COUNTRY,45,677,6.646971935007386
2010,ELECTRONIC,7,677,1.03397341211226
2010,HIP HOP,221,677,32.64401772525849
2010,POP,383,677,56.57311669128509
2010,R&B,5,677,0.7385524372230428
2010,ROCK,16,677,2.363367799113737
2011,COUNTRY,69,634,10.883280757097792
2011,ELECTRONIC,16,634,2.5236593059936907
2011,HIP HOP,208,634,32.80757097791798
2011,LATIN,1,634,0.15772870662460567
2011,POP,333,634,52.52365930599369
2011,R&B,6,634,0.9463722397476341
2011,ROCK,1,634,0.15772870662460567
2012,COUNTRY,68,572,11.888111888111888
2012,ELECTRONIC,27,572,4.72027972027972
2012,HIP HOP,137,572,23.95104895104895
2012,POP,304,572,53.14685314685315
2012,R&B,26,572,4.545454545454546
2012,ROCK,10,572,1.7482517482517483
2013,COUNTRY,90,551,16.33393829401089
2013,ELECTRONIC,32,551,5.807622504537205
2013,HIP HOP,127,551,23.049001814882033
2013,POP,286,551,51.90562613430127
2013,R&B,7,551,1.2704174228675136
2013,ROCK,9,551,1.6333938294010888
2014,COUNTRY,57,648,8.796296296296296
2014,ELECTRONIC,45,648,6.944444444444445
2014,HIP HOP,203,648,31.32716049382716
2014,LATIN,7,648,1.0802469135802468
2014,POP,300,648,46.2962962962963
2014,R&B,26,648,4.012345679012346
2014,ROCK,10,648,1.5432098765432098
2015,COUNTRY,15,611,2.454991816693944
2015,ELECTRONIC,33,611,5.400981996726677
2015,HIP HOP,178,611,29.132569558101473
2015,LATIN,5,611,0.8183306055646482
2015,POP,327,611,53.51882160392799
2015,R&B,33,611,5.400981996726677
2015,ROCK,20,611,3.273322422258593
2016,COUNTRY,12,631,1.9017432646592711
2016,ELECTRONIC,32,631,5.071315372424722
2016,HIP HOP,223,631,35.34072900158478
2016,POP,299,631,47.385103011093506
2016,R&B,42,631,6.656101426307448
2016,ROCK,23,631,3.6450079239302693
2017,COUNTRY,23,627,3.6682615629984054
2017,ELECTRONIC,33,627,5.263157894736842
2017,HIP HOP,291,627,46.411483253588514
2017,LATIN,11,627,1.7543859649122806
2017,POP,227,627,36.20414673046252
2017,R&B,31,627,4.944178628389154
2017,ROCK,11,627,1.7543859649122806
2018,COUNTRY,28,566,4.946996466431095
2018,ELECTRONIC,20,566,3.53356890459364
2018,HIP HOP,270,566,47.70318021201413
2018,LATIN,27,566,4.770318021201414
2018,POP,200,566,35.3356890459364
2018,R&B,13,566,2.2968197879858656
2018,ROCK,8,566,1.4134275618374559
2019,COUNTRY,41,381,10.761154855643044
2019,ELECTRONIC,6,381,1.574803149606299
2019,HIP HOP,163,381,42.78215223097113
2019,LATIN,13,381,3.4120734908136483
2019,POP,158,381,41.46981627296588
2020,COUNTRY,53,367,14.441416893732969
2020,ELECTRONIC,2,367,0.544959128065395
2020,HIP HOP,185,367,50.40871934604905
2020,LATIN,2,367,0.544959128065395
2020,POP,117,367,31.88010899182561
2020,R&B,8,367,2.17983651226158
2021,COUNTRY,61,341,17.888563049853374
2021,ELECTRONIC,2,341,0.5865102639296188
2021,HIP HOP,155,341,45.45454545454545
2021,LATIN,6,341,1.7595307917888565
2021,POP,90,341,26.392961876832842
2021,R&B,25,341,7.331378299120235
2021,ROCK,2,341,0.5865102639296188
2022,COUNTRY,74,311,23.79421221864952
2022,HIP HOP,111,311,35.69131832797427
2022,LATIN,20,311,6.430868167202572
2022,POP,84,311,27.009646302250808
2022,R&B,20,311,6.430868167202572
2022,ROCK,2,311,0.6430868167202572
2023,COUNTRY,44,284,15.492957746478872
2023,HIP HOP,107,284,37.67605633802817
2023,LATIN,19,284,6.690140845070422
2023,POP,110,284,38.732394366197184
2023,R&B,4,284,1.4084507042253522
