name,genres,source
Doja Cat,"['pop rap', 'r&b', 'hip hop']",manual
DaBaby,"['hip hop', 'rap', 'trap']",manual
Megan Thee Stallion,"['hip hop', 'rap', 'southern hip hop']",manual
Olivia Rodrigo,"['pop', 'pop rock', 'alternative pop']",manual
Ice Spice,"['hip hop', 'bronx drill', 'rap']",manual
Jack Harlow,"['hip hop', 'rap', 'pop rap']",manual
Lizzo,"['pop', 'r&b', 'hip hop']",manual
Colby O'Donis,"['pop', 'r&b']",manual
Latto,"['hip hop', 'rap', 'southern hip hop']",manual
Polo G,"['hip hop', 'rap', 'melodic rap']",manual
Rod Wave,"['hip hop', 'melodic rap', 'r&b']",manual
The Cataracs,"['electronic', 'electropop', 'dance']",manual
24kGoldn,"['hip hop', 'pop rap']",manual
Alex Band,"['rock', 'post-grunge', 'alternative rock']",manual
Black Eyed Peas,"['hip hop', 'pop', 'electronic']",manual
Coi Leray,"['hip hop', 'rap']",manual
DRAM,"['r&b', 'hip hop', 'funk']",manual
GoonRock,"['electronic', 'electro house', 'dance']",manual
Kim Petras,"['pop', 'dance pop', 'electropop']",manual
Lauren Bennett,"['dance pop', 'electronic', 'pop']",manual
NLE Choppa,"['hip hop', 'rap', 'memphis rap']",manual
Pooh Shiesty,"['hip hop', 'trap', 'memphis rap']",manual
Saweetie,"['hip hop', 'rap']",manual
Shaed,"['indie pop', 'electropop']",manual
Silk Sonic,"['r&b', 'soul', 'funk']",manual
Sisqó,"['r&b', 'pop']",manual
Steve Lacy,"['r&b', 'funk', 'indie pop']",manual
Tate McRae,"['pop', 'dance pop']",manual
Too Short,"['hip hop', 'west coast rap', 'g-funk']",manual
'N Sync,"['pop', 'boy band', 'dance pop']",manual
070 Shake,"['alternative r&b', 'hip hop', 'experimental']",manual
42 Dugg,"['hip hop', 'detroit rap', 'trap']",manual
Adassa,"['latin pop', 'reggaeton']",manual
Arizona Zervas,"['hip hop', 'pop rap']",manual
BRS Kash,"['hip hop', 'rap', 'southern hip hop']",manual
Bipolar Sunshine,"['indie pop', 'electronic']",manual
Blueface,"['hip hop', 'west coast rap']",manual
Brendon Urie,"['pop rock', 'emo', 'alternative rock']",manual
CJ,"['hip hop', 'drill', 'rap']",manual
Cash Out,"['hip hop', 'trap', 'southern hip hop']",manual
City Spud,"['hip hop', 'rap', 'midwest rap']",manual
DHT,"['eurodance', 'electronic', 'dance']",manual
DJ Frank E,"['electronic', 'dance', 'hip hop']",manual
David Kushner,"['pop', 'indie pop', 'soft rock']",manual
Diane Guerrero,"['musical theatre', 'soundtrack']",manual
Doechii,"['hip hop', 'rap']",manual
Don Toliver,"['hip hop', 'trap', 'r&b']",manual
Kyjuan,"['hip hop', 'rap', 'midwest rap']",manual
Lil' Romeo,"['hip hop', 'rap']",manual
Los Lonely Boys,"['rock', 'tex-mex', 'blues rock']",manual
Mae Muller,"['pop', 'electropop']",manual
Mary Lambert,"['indie pop', 'singer-songwriter']",manual
Masked Wolf,"['hip hop', 'rap']",manual
Matthew Santos,"['soul', 'r&b']",manual
Melle Mel,"['hip hop', 'old school hip hop']",manual
Mims,"['hip hop', 'rap']",manual
