from,to,year,weight
hip hop,rap,2000,9
hip hop,rap,2001,17
hip hop,rap,2002,16
hip hop,rap,2003,23
hip hop,rap,2004,22
hip hop,rap,2005,30
hip hop,rap,2006,24
hip hop,rap,2007,22
hip hop,rap,2008,15
hip hop,rap,2009,18
hip hop,rap,2010,19
hip hop,rap,2011,20
hip hop,rap,2012,11
hip hop,rap,2013,13
hip hop,rap,2014,19
hip hop,rap,2015,14
hip hop,rap,2016,19
hip hop,rap,2017,22
hip hop,rap,2018,21
hip hop,rap,2019,11
hip hop,rap,2020,16
hip hop,rap,2021,19
hip hop,rap,2022,9
hip hop,rap,2023,10
pop rap,rap,2000,6
pop rap,rap,2001,11
pop rap,rap,2002,14
pop rap,rap,2003,21
pop rap,rap,2004,21
pop rap,rap,2005,32
pop rap,rap,2006,26
pop rap,rap,2007,26
pop rap,rap,2008,17
pop rap,rap,2009,17
pop rap,rap,2010,20
pop rap,rap,2011,21
pop rap,rap,2012,16
pop rap,rap,2013,16
pop rap,rap,2014,23
pop rap,rap,2015,20
pop rap,rap,2016,24
pop rap,rap,2017,27
pop rap,rap,2018,29
pop rap,rap,2019,13
pop rap,rap,2020,16
pop rap,rap,2021,14
pop rap,rap,2022,9
pop rap,rap,2023,11
dance pop,pop,2000,15
dance pop,pop,2001,21
dance pop,pop,2002,22
dance pop,pop,2003,17
dance pop,pop,2004,14
dance pop,pop,2005,27
dance pop,pop,2006,26
dance pop,pop,2007,35
dance pop,pop,2008,32
dance pop,pop,2009,32
dance pop,pop,2010,41
dance pop,pop,2011,47
dance pop,pop,2012,35
dance pop,pop,2013,42
dance pop,pop,2014,41
dance pop,pop,2015,39
dance pop,pop,2016,35
dance pop,pop,2017,30
dance pop,pop,2018,26
dance pop,pop,2019,19
dance pop,pop,2020,16
dance pop,pop,2021,14
dance pop,pop,2022,13
dance pop,pop,2023,18
mellow gold,soft rock,2000,0
mellow gold,soft rock,2001,0
mellow gold,soft rock,2002,0
mellow gold,soft rock,2003,1
mellow gold,soft rock,2004,0
mellow gold,soft rock,2005,0
mellow gold,soft rock,2006,0
mellow gold,soft rock,2007,0
mellow gold,soft rock,2008,0
mellow gold,soft rock,2009,0
mellow gold,soft rock,2010,0
mellow gold,soft rock,2011,1
mellow gold,soft rock,2012,0
mellow gold,soft rock,2013,0
mellow gold,soft rock,2014,0
mellow gold,soft rock,2015,1
mellow gold,soft rock,2016,0
mellow gold,soft rock,2017,0
mellow gold,soft rock,2018,0
mellow gold,soft rock,2019,0
mellow gold,soft rock,2020,0
mellow gold,soft rock,2021,0
mellow gold,soft rock,2022,0
mellow gold,soft rock,2023,0
album rock,rock,2000,0
album rock,rock,2001,1
album rock,rock,2002,0
album rock,rock,2003,0
album rock,rock,2004,0
album rock,rock,2005,0
album rock,rock,2006,0
album rock,rock,2007,0
album rock,rock,2008,0
album rock,rock,2009,0
album rock,rock,2010,0
album rock,rock,2011,0
album rock,rock,2012,0
album rock,rock,2013,0
album rock,rock,2014,0
album rock,rock,2015,1
album rock,rock,2016,0
album rock,rock,2017,0
album rock,rock,2018,0
album rock,rock,2019,0
album rock,rock,2020,0
album rock,rock,2021,0
album rock,rock,2022,0
album rock,rock,2023,0
pop rap,southern hip hop,2000,7
pop rap,southern hip hop,2001,9
pop rap,southern hip hop,2002,11
pop rap,southern hip hop,2003,19
pop rap,southern hip hop,2004,24
pop rap,southern hip hop,2005,25
pop rap,southern hip hop,2006,26
pop rap,southern hip hop,2007,19
pop rap,southern hip hop,2008,14
pop rap,southern hip hop,2009,8
pop rap,southern hip hop,2010,14
pop rap,southern hip hop,2011,14
pop rap,southern hip hop,2012,8
pop rap,southern hip hop,2013,8
pop rap,southern hip hop,2014,17
pop rap,southern hip hop,2015,14
pop rap,southern hip hop,2016,13
pop rap,southern hip hop,2017,12
pop rap,southern hip hop,2018,15
pop rap,southern hip hop,2019,7
pop rap,southern hip hop,2020,7
pop rap,southern hip hop,2021,6
pop rap,southern hip hop,2022,4
pop rap,southern hip hop,2023,4
r&b,urban contemporary,2000,26
r&b,urban contemporary,2001,24
r&b,urban contemporary,2002,19
r&b,urban contemporary,2003,20
r&b,urban contemporary,2004,22
r&b,urban contemporary,2005,23
r&b,urban contemporary,2006,17
r&b,urban contemporary,2007,18
r&b,urban contemporary,2008,16
r&b,urban contemporary,2009,14
r&b,urban contemporary,2010,7
r&b,urban contemporary,2011,9
r&b,urban contemporary,2012,6
r&b,urban contemporary,2013,7
r&b,urban contemporary,2014,7
r&b,urban contemporary,2015,7
r&b,urban contemporary,2016,4
r&b,urban contemporary,2017,1
r&b,urban contemporary,2018,2
r&b,urban contemporary,2019,0
r&b,urban contemporary,2020,1
r&b,urban contemporary,2021,1
r&b,urban contemporary,2022,1
r&b,urban contemporary,2023,3
hip hop,pop rap,2000,9
hip hop,pop rap,2001,13
hip hop,pop rap,2002,16
hip hop,pop rap,2003,25
hip hop,pop rap,2004,23
hip hop,pop rap,2005,32
hip hop,pop rap,2006,25
hip hop,pop rap,2007,20
hip hop,pop rap,2008,15
hip hop,pop rap,2009,16
hip hop,pop rap,2010,17
hip hop,pop rap,2011,18
hip hop,pop rap,2012,10
hip hop,pop rap,2013,11
hip hop,pop rap,2014,17
hip hop,pop rap,2015,13
hip hop,pop rap,2016,17
hip hop,pop rap,2017,20
hip hop,pop rap,2018,20
hip hop,pop rap,2019,6
hip hop,pop rap,2020,15
hip hop,pop rap,2021,12
hip hop,pop rap,2022,7
hip hop,pop rap,2023,7
rap,southern hip hop,2000,4
rap,southern hip hop,2001,9
rap,southern hip hop,2002,9
rap,southern hip hop,2003,11
rap,southern hip hop,2004,14
rap,southern hip hop,2005,22
rap,southern hip hop,2006,19
rap,southern hip hop,2007,17
rap,southern hip hop,2008,13
rap,southern hip hop,2009,7
rap,southern hip hop,2010,11
rap,southern hip hop,2011,12
rap,southern hip hop,2012,7
rap,southern hip hop,2013,8
rap,southern hip hop,2014,15
rap,southern hip hop,2015,13
rap,southern hip hop,2016,13
rap,southern hip hop,2017,12
rap,southern hip hop,2018,15
rap,southern hip hop,2019,10
rap,southern hip hop,2020,11
rap,southern hip hop,2021,11
rap,southern hip hop,2022,7
rap,southern hip hop,2023,7
indie rock,modern rock,2000,0
indie rock,modern rock,2001,0
indie rock,modern rock,2002,0
indie rock,modern rock,2003,0
indie rock,modern rock,2004,0
indie rock,modern rock,2005,1
indie rock,modern rock,2006,0
indie rock,modern rock,2007,0
indie rock,modern rock,2008,0
indie rock,modern rock,2009,1
indie rock,modern rock,2010,1
indie rock,modern rock,2011,0
indie rock,modern rock,2012,0
indie rock,modern rock,2013,0
indie rock,modern rock,2014,0
indie rock,modern rock,2015,0
indie rock,modern rock,2016,0
indie rock,modern rock,2017,0
indie rock,modern rock,2018,0
indie rock,modern rock,2019,0
indie rock,modern rock,2020,0
indie rock,modern rock,2021,0
indie rock,modern rock,2022,0
indie rock,modern rock,2023,0
classic rock,rock,2000,1
classic rock,rock,2001,1
classic rock,rock,2002,0
classic rock,rock,2003,1
classic rock,rock,2004,1
classic rock,rock,2005,0
classic rock,rock,2006,0
classic rock,rock,2007,0
classic rock,rock,2008,1
classic rock,rock,2009,0
classic rock,rock,2010,0
classic rock,rock,2011,0
classic rock,rock,2012,0
classic rock,rock,2013,0
classic rock,rock,2014,0
classic rock,rock,2015,1
classic rock,rock,2016,0
classic rock,rock,2017,0
classic rock,rock,2018,0
classic rock,rock,2019,0
classic rock,rock,2020,0
classic rock,rock,2021,0
classic rock,rock,2022,0
classic rock,rock,2023,0
alternative metal,nu metal,2000,4
alternative metal,nu metal,2001,7
alternative metal,nu metal,2002,5
alternative metal,nu metal,2003,6
alternative metal,nu metal,2004,5
alternative metal,nu metal,2005,4
alternative metal,nu metal,2006,2
alternative metal,nu metal,2007,5
alternative metal,nu metal,2008,7
alternative metal,nu metal,2009,4
alternative metal,nu metal,2010,1
alternative metal,nu metal,2011,0
alternative metal,nu metal,2012,1
alternative metal,nu metal,2013,0
alternative metal,nu metal,2014,0
alternative metal,nu metal,2015,0
alternative metal,nu metal,2016,0
alternative metal,nu metal,2017,0
alternative metal,nu metal,2018,0
