band_singer,years_active,first_year,last_year,song_count,sample_songs
Jay-Z,"2000, 2001, 2003, 2004, 2005, 2006, 2007, 2009, 2010, 2012, 2013, 2014, 2016",2000,2016,22,Big Pimpin' | Fiesta | Izzo (H.O.V.A.)
Pink,"2000, 2001, 2002, 2006, 2007, 2008, 2009, 2011, 2012, 2013, 2017, 2019, 2021",2000,2021,21,There You Go | Most Girls | Lady Marmalade
Doja Cat,"2020, 2021, 2022, 2023",2020,2023,17,Say So | Juicy | Kiss Me More
R. Kelly,"2001, 2002, 2003, 2004, 2005, 2007, 2014",2001,2014,17,Fiesta | Contagious | I Wish
DaBaby,"2019, 2020, 2021",2019,2021,11,Suge | Baby | Cash Shit
Megan Thee Stallion,"2019, 2020, 2021, 2022",2019,2022,10,Cash Shit | Hot Girl Summer | Savage
Juice Wrld,"2018, 2019, 2020",2018,2020,8,Lucid Dreams | Robbery | Come & Go
Pharrell,"2002, 2003, 2004, 2005, 2006, 2007",2002,2007,7,"Pass the Courvoisier, Part II | Frontin' | Beautiful"
Olivia Rodrigo,"2021, 2022, 2023",2021,2023,6,Good 4 U | Drivers License | Deja Vu
P. Diddy,"2002, 2003, 2004",2002,2004,6,"I Need a Girl (Part One) | I Need a Girl (Part Two) | Pass the Courvoisier, Part II"
Pop Smoke,"2020, 2021",2020,2021,6,For the Night | The Woo | Mood Swings
Lainey Wilson,"2021, 2022, 2023",2021,2023,5,Things a Man Oughta Know | Never Say Never | Wait in the Truck
Pussycat Dolls,"2006, 2008, 2009",2006,2009,5,Buttons | Stickwitu | Beep
Ty Dolla Sign,"2016, 2017, 2018, 2019",2016,2019,5,Work from Home | Sucker for Pain | Swalla
Young Jeezy,"2005, 2006, 2007, 2008",2005,2008,5,Soul Survivor | Go Getta | Love in This Club
Bailey Zimmerman,"2022, 2023",2022,2023,4,Fall in Love | Rock and a Hard Place | Religiously
Dev,"2010, 2011",2010,2011,4,Like a G6 | In the Dark | Backseat
