genre1,genre2,years_together,first_year,last_year
-,acoustic pop,7,2000,2010
-,adult standards,1,2010,2010
-,afro dancehall,1,2016,2016
-,alabama rap,1,2007,2007
-,alaska indie,2,2002,2003
-,album rock,2,2001,2015
-,alternative dance,2,2010,2013
-,alternative hip hop,6,2000,2006
-,alternative metal,7,2000,2010
-,alternative r&b,4,2012,2017
-,alternative rock,6,2000,2010
-,art pop,3,2013,2022
-,atl hip hop,9,2001,2016
-,atl trap,1,2023,2023
-,australian country,3,2004,2017
-,australian dance,2,2012,2016
-,australian pop,10,2001,2017
-,baroque pop,1,2006,2006
-,bass trap,1,2013,2013
-,baton rouge rap,1,2005,2005
-,battle rap,2,2003,2004
-,bergen indie,1,2012,2012
-,big room,3,2011,2015
-,blues-rock,3,2000,2004
-,bmore,1,2015,2015
-,bounce,1,2004,2004
-,boy band,7,2002,2020
-,british soul,8,2001,2017
-,broadway,1,2014,2014
-,brostep,1,2015,2015
-,bubblegum dance,1,2006,2006
-,cali rap,3,2006,2015
-,canadian contemporary r&b,2,2016,2022
-,canadian country,1,2003,2003
-,canadian hip hop,6,2009,2023
-,canadian latin,4,2001,2007
-,canadian pop,11,2001,2017
-,candy pop,2,2003,2013
-,cantautor,1,2005,2005
-,ccm,1,2004,2004
-,celtic,2,2001,2004
-,celtic rock,3,2010,2013
-,chamber pop,1,2013,2013
-,chicago rap,11,2000,2018
-,chicano rap,3,2003,2007
-,classic soul,1,2001,2001
-,colombian pop,4,2002,2009
-,comic,1,2013,2013
-,complextro,4,2013,2018
-,conscious hip hop,8,2000,2016
-,contemporary country,6,2006,2016
-,country,2,2000,2003
-,country rap,1,2020,2020
-,crunk,10,2000,2022
-,dance pop,1,2016,2016
-,dancehall,3,2002,2004
-,danish pop,1,2016,2016
-,deep dance pop,1,2011,2011
-,deep groove house,1,2015,2015
-,deep latin christian,1,2000,2000
-,deep pop r&b,4,2000,2009
-,detroit hip hop,10,2000,2014
-,dfw rap,2,2016,2017
-,dirty south rap,11,2003,2017
-,disco,1,2001,2001
-,downtempo,1,2001,2001
-,east coast hip hop,8,2000,2020
-,edm,7,2011,2018
-,electro,3,2013,2017
-,electropop,5,2009,2023
-,emo,6,2005,2013
-,emo rap,1,2017,2017
-,escape room,1,2022,2022
-,eurodance,1,2002,2002
-,europop,2,2002,2003
-,florida rap,3,2017,2023
-,folk rock,2,2003,2011
-,folk-pop,6,2002,2015
-,francoton,2,2017,2018
-,funk,1,2003,2003
-,g funk,10,2000,2014
-,gangster rap,8,2002,2016
-,garage rock,2,2009,2010
-,girl group,1,2001,2001
-,glam metal,1,2006,2006
-,gospel,1,2000,2000
-,gospel r&b,2,2003,2004
-,hardcore hip hop,1,2004,2004
-,hip hop,9,2000,2023
-,hip pop,8,2000,2016
-,house,2,2014,2016
-,houston rap,1,2015,2015
-,idol,3,2003,2008
-,indie folk,1,2015,2015
-,indie pop,3,2010,2017
-,indie pop rap,1,2009,2009
-,indie r&b,1,2018,2018
-,indie rock,1,2005,2005
-,irish rock,2,2006,2007
-,jam band,1,2001,2001
-,la indie,1,2013,2013
-,latin,6,2000,2020
-,latin viral pop,2,2014,2022
-,metropopolis,1,2014,2014
-,miami hip hop,1,2016,2016
-,modern alternative rock,3,2012,2016
-,modern rock,6,2002,2016
-,motown,1,2003,2003
-,nashville indie,1,2013,2013
-,neo mellow,12,2001,2016
-,neo soul,3,2000,2004
-,neon pop punk,1,2007,2007
-,nu metal,1,2006,2006
-,nyc rap,4,2001,2014
-,permanent wave,6,2000,2017
-,philly rap,2,2003,2023
-,piano rock,1,2011,2011
-,pinoy hip hop,2,2015,2016
-,pop,9,2004,2016
-,pop edm,1,2013,2013
-,pop house,1,2002,2002
