song_id,song_name,year,ranking,artist_name,artist_position,artist_role,word_count,artist_genre,artist_genres,match_method
0,#Beautiful,2013,81,Mariah Carey,1,primary,305.0,dance pop,"['dance pop', 'pop', 'r&b', 'urban contemporary']",artist_name
1,#Beautiful,2013,81,Miguel,1,primary,305.0,dance pop,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",artist_name
2,#thatPower,2013,95,Justin Bieber,1,primary,450.0,canadian pop,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",artist_name
3,#thatPower,2013,95,will.i.am,1,primary,450.0,dance pop,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",artist_name
4,'03 Bonnie & Clyde,2003,37,Beyoncé,1,primary,672.0,dance pop,"['dance pop', 'pop', 'r&b']",artist_name
5,'03 Bonnie & Clyde,2003,37,Jay-Z,1,primary,672.0,dance pop,,lyrics_1.00
6,'Til You Can't,2022,34,Cody Johnson,1,primary,390.0,contemporary country,"['contemporary country', 'country road', 'modern country rock', 'outlaw country', 'red dirt', 'texas country']",artist_name
7,(When You Gonna) Give It Up to Me,2006,37,Keyshia Cole,1,primary,954.0,dance pop,"['dance pop', 'deep pop r&b', 'hip pop', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",artist_name
8,(When You Gonna) Give It Up to Me,2006,37,Sean Paul,1,primary,954.0,-,[],artist_name
9,0 to 100 / The Catch Up,2014,97,Drake,1,primary,1013.0,canadian hip hop,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",artist_name
10,1 Thing,2005,67,Amerie,1,primary,766.0,alternative r&b,"['alternative r&b', 'dance pop', 'deep pop r&b', 'hip hop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']",artist_name
11,"1, 2 Step",2005,5,Ciara,1,primary,819.0,dance pop,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",artist_name
12,"1, 2 Step",2005,5,Missy Elliott,1,primary,334.0,dance pop,"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",artist_name
13,1-800-273-8255,2017,31,Alessia Cara,1,primary,602.0,canadian contemporary r&b,"['canadian contemporary r&b', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",artist_name
14,1-800-273-8255,2018,84,Alessia Cara,1,primary,602.0,canadian contemporary r&b,"['canadian contemporary r&b', 'dance pop', 'pop', 'post-teen pop', 'uk pop']",artist_name
15,1-800-273-8255,2017,31,Khalid,1,primary,602.0,pop,['pop'],artist_name
16,1-800-273-8255,2018,84,Khalid,1,primary,602.0,pop,['pop'],artist_name
