genre_1,genre_2,early_count,late_count,absolute_growth,percent_growth
pop,post-teen pop,42,76,34,80.95
pop,uk pop,11,42,31,281.82
dance pop,uk pop,11,36,25,227.27
pop,tropical house,3,28,25,833.33
post-teen pop,uk pop,9,32,23,255.56
dance pop,post-teen pop,47,69,22,46.81
pop,trap music,14,34,20,142.86
pop,rap,30,50,20,66.67
dance pop,tropical house,3,23,20,666.67
electropop,pop,5,22,17,340
dance pop,pop,100,115,15,15
post-teen pop,tropical house,0,15,15,
tropical house,uk pop,2,15,13,650
rap,trap music,55,68,13,23.64
edm,pop,6,19,13,216.67
edm,tropical house,1,13,12,1200
electropop,tropical house,0,11,11,
dance pop,electropop,7,18,11,157.14
country road,modern country rock,16,26,10,62.5
contemporary country,modern country rock,16,26,10,62.5
atl hip hop,pop,5,14,9,180
indie poptimism,pop,0,9,9,
metropopolis,pop,0,9,9,
country,modern country rock,16,25,9,56.25
pop,southern hip hop,21,30,9,42.86
dance pop,edm,5,13,8,160
rap,underground hip hop,0,8,8,
edm,post-teen pop,0,7,7,
dance pop,metropopolis,0,7,7,
trap music,underground hip hop,0,7,7,
electropop,metropopolis,0,7,7,
electropop,uk pop,1,8,7,700
electropop,post-teen pop,5,12,7,140
dance pop,indie poptimism,0,7,7,
southern hip hop,underground hip hop,0,6,6,
contemporary country,country pop,3,9,6,200
modern rock,pop,4,10,6,150
hip hop,underground hip hop,0,6,6,
pop rap,underground hip hop,0,5,5,
electro house,pop,2,7,5,250
atl hip hop,rap,17,22,5,29.41
pop,viral pop,6,11,5,83.33
indie poptimism,post-teen pop,0,5,5,
electropop,indie poptimism,0,5,5,
dance pop,talent show,2,7,5,250
metropopolis,tropical house,0,5,5,
edm,electro house,2,7,5,250
indie poptimism,uk pop,0,5,5,
trap music,vapor trap,0,5,5,
pop,talent show,2,7,5,250
post-teen pop,talent show,2,7,5,250
southern hip hop,viral trap,0,4,4,
alternative r&b,rap,0,4,4,
uk pop,viral pop,1,5,4,400
edm,uk pop,0,4,4,
country,country pop,3,7,4,133.33
metropopolis,post-teen pop,0,4,4,
rap,viral trap,0,4,4,
pop rap,viral trap,0,4,4,
atl trap,trap music,0,4,4,
dance pop,electro house,1,5,4,400
trap music,viral trap,0,4,4,
atl trap,rap,0,4,4,
modern alternative rock,modern rock,0,4,4,
rap,vapor trap,0,4,4,
alternative r&b,pop,0,4,4,
indie poptimism,tropical house,0,3,3,
latin,reggaeton,1,4,3,300
talent show,uk pop,2,5,3,150
electro house,tropical house,1,4,3,300
country pop,modern country rock,2,5,3,150
electropop,swedish electropop,0,3,3,
dance pop,swedish electropop,0,3,3,
boy band,post-teen pop,1,4,3,300
pop,reggaeton,1,4,3,300
metropopolis,uk pop,0,3,3,
country pop,country road,3,6,3,100
edm,electropop,0,3,3,
folk-pop,stomp and holler,0,3,3,
alternative r&b,pop rap,0,3,3,
pop,swedish electropop,0,3,3,
house,tropical house,1,4,3,300
big room,edm,1,4,3,300
indie folk,modern rock,0,3,3,
folk-pop,modern rock,0,3,3,
canadian contemporary r&b,pop,0,3,3,
metropopolis,modern rock,0,3,3,
big room,pop,1,4,3,300
pop,pop rap,63,66,3,4.76
atl hip hop,atl trap,0,3,3,
modern rock,stomp and holler,0,3,3,
tropical house,uk dance,0,3,3,
post-teen pop,viral pop,7,10,3,42.86
hip hop,viral trap,0,3,3,
complextro,edm,0,2,2,
latin,pop,5,7,2,40
gangster rap,underground hip hop,0,2,2,
cali rap,trap music,1,3,2,200
modern alternative rock,stomp pop,0,2,2,
talent show,tropical house,0,2,2,
indie folk,pop,0,2,2,
electropop,swedish pop,0,2,2,
folk-pop,indie folk,0,2,2,
boy band,pop,2,4,2,100
edm,uk dance,1,3,2,200
latin hip hop,reggaeton,1,3,2,200
moombahton,pop,0,2,2,
post-teen pop,swedish pop,0,2,2,
house,uk dance,1,3,2,200
canadian hip hop,southern hip hop,0,2,2,
electro house,post-teen pop,0,2,2,
pop,swedish pop,0,2,2,
pop,uk dance,1,3,2,200
candy pop,metropopolis,0,2,2,
dance rock,new wave,0,2,2,
cali rap,hip hop,1,3,2,200
memphis hip hop,rap,1,3,2,200
swedish pop,tropical house,0,2,2,
metropopolis,swedish electropop,0,2,2,
metropopolis,swedish synthpop,0,2,2,
canadian hip hop,pop,0,2,2,
southern hip hop,toronto rap,0,2,2,
danish pop,pop,0,2,2,
cali rap,pop rap,1,3,2,200
toronto rap,trap music,0,2,2,
canadian hip hop,rap,1,3,2,200
dance rock,new wave pop,0,2,2,
pop,swedish synthpop,0,2,2,
alternative r&b,hip hop,1,3,2,200
cali rap,rap,1,3,2,200
atl hip hop,underground hip hop,0,2,2,
gangster rap,viral trap,0,2,2,
electropop,swedish synthpop,0,2,2,
dance pop,swedish synthpop,0,2,2,
modern rock,stomp pop,0,2,2,
talent show,viral pop,0,2,2,
latin hip hop,tropical,1,3,2,200
alternative r&b,atl hip hop,0,2,2,
rap,toronto rap,1,3,2,200
southern hip hop,vapor trap,0,2,2,
dance pop,viral pop,7,9,2,28.57
pop,scandipop,0,2,2,
atl trap,southern hip hop,0,2,2,
dance pop,swedish pop,0,2,2,
canadian hip hop,trap music,0,2,2,
swedish electropop,swedish synthpop,0,2,2,
underground hip hop,vapor trap,0,2,2,
edm,moombahton,0,2,2,
electropop,nz pop,0,2,2,
indie folk,stomp and holler,0,2,2,
atl hip hop,trap music,18,20,2,11.11
new wave,new wave pop,0,2,2,
emo rap,miami hip hop,0,2,2,
pop,toronto rap,0,2,2,
latin hip hop,pop,1,3,2,200
canadian hip hop,pop rap,1,3,2,200
canadian hip hop,toronto rap,1,3,2,200
post-teen pop,swedish electropop,0,2,2,
modern alternative rock,pop,0,2,2,
atl trap,pop rap,0,2,2,
reggaeton,tropical,1,3,2,200
atl trap,gangster rap,0,2,2,
cali rap,southern hip hop,1,3,2,200
tropical house,uk contemporary r&b,0,2,2,
indie poptimism,pop rock,0,2,2,
pop,underground hip hop,0,2,2,
pop,tropical,3,5,2,66.67
swedish electropop,tropical house,0,2,2,
cali rap,pop,0,2,2,
latin,latin hip hop,1,3,2,200
reggaeton,trap latino,0,2,2,
swedish electropop,swedish pop,0,2,2,
uk contemporary r&b,uk pop,0,2,2,
australian pop,viral pop,0,2,2,
indie poptimism,modern rock,0,2,2,
edm,metropopolis,0,1,1,
tropical house,uk funky,0,1,1,
album rock,art rock,0,1,1,
pop,portland hip hop,0,1,1,
country road,neo mellow,1,2,1,100
folk-pop,pop,3,4,1,33.33
