genre_1,genre_2,co_occurrence_count
rock,rock,548
pop,pop,468
dance pop,dance pop,427
hip hop,hip hop,422
pop rap,pop rap,404
rap,rap,389
modern rock,modern rock,356
folk rock,folk rock,347
pop rock,pop rock,335
folk-pop,folk-pop,325
mellow gold,mellow gold,322
soft rock,soft rock,321
album rock,album rock,312
southern hip hop,southern hip hop,312
urban contemporary,urban contemporary,309
singer-songwriter,singer-songwriter,305
new wave pop,new wave pop,302
classic rock,classic rock,292
hip hop,rap,287
alternative metal,alternative metal,280
quiet storm,quiet storm,279
gangster rap,gangster rap,276
pop rap,rap,273
hard rock,hard rock,269
indie rock,indie rock,268
dance pop,pop,268
funk,funk,266
r&b,r&b,256
country,country,254
alternative rock,alternative rock,253
country rock,country rock,250
post-grunge,post-grunge,250
trap music,trap music,245
soul,soul,243
mellow gold,soft rock,243
album rock,rock,239
pop rap,southern hip hop,237
indie pop,indie pop,235
disco,disco,232
roots rock,roots rock,225
art rock,art rock,224
r&b,urban contemporary,224
contemporary country,contemporary country,224
folk,folk,223
dance rock,dance rock,222
bubblegum pop,bubblegum pop,221
hip pop,hip pop,218
hip hop,pop rap,218
brill building pop,brill building pop,215
rap,southern hip hop,213
indie rock,modern rock,212
nu metal,nu metal,212
motown,motown,212
indie folk,indie folk,211
classic rock,rock,211
adult standards,adult standards,208
classic soul,classic soul,208
post-teen pop,post-teen pop,206
blues-rock,blues-rock,205
new wave,new wave,205
pop punk,pop punk,202
alternative metal,nu metal,200
neo soul,neo soul,199
hard rock,rock,197
hardcore hip hop,hardcore hip hop,196
new jack swing,new jack swing,193
southern hip hop,trap music,189
classic uk pop,classic uk pop,188
neo mellow,neo mellow,183
folk rock,mellow gold,182
rap,trap music,182
contemporary country,country,182
country road,country road,181
indie pop,modern rock,181
hip hop,southern hip hop,181
pop rap,trap music,179
gangster rap,rap,178
dance rock,new wave,177
psychedelic rock,psychedelic rock,176
album rock,classic rock,176
mellow gold,rock,174
alternative metal,post-grunge,174
gangster rap,hip hop,173
folk rock,singer-songwriter,171
folk,singer-songwriter,170
dance rock,new wave pop,168
new romantic,new romantic,166
stomp and holler,stomp and holler,164
album rock,hard rock,164
indietronica,indietronica,163
folk-pop,indie folk,162
contemporary country,country road,158
funk,quiet storm,157
indie pop,indie rock,155
hardcore hip hop,hip hop,155
screamo,screamo,154
country,country road,154
funk,soul,152
album rock,mellow gold,152
dance rock,new romantic,152
quiet storm,urban contemporary,152
gangster rap,pop rap,149
hip pop,urban contemporary,149
new jack swing,urban contemporary,149
new romantic,new wave pop,148
hip pop,r&b,148
garage rock,garage rock,148
post-disco,post-disco,148
classic rock,folk rock,146
pop,post-teen pop,145
dirty south rap,dirty south rap,145
southern soul,southern soul,145
dance pop,post-teen pop,145
blues-rock,classic rock,144
album rock,soft rock,143
metal,metal,143
new romantic,new wave,143
gangster rap,southern hip hop,143
christian music,christian music,143
classic rock,mellow gold,142
chamber pop,chamber pop,142
rock,soft rock,142
nu metal,post-grunge,142
folk,folk rock,141
new wave,new wave pop,140
outlaw country,outlaw country,140
christian alternative rock,christian alternative rock,139
rap rock,rap rock,139
motown,soul,139
folk rock,rock,138
traditional country,traditional country,138
indie folk,stomp and holler,137
jazz funk,jazz funk,136
folk rock,soft rock,136
emo,emo,136
mellow gold,singer-songwriter,133
groove metal,groove metal,133
ccm,ccm,131
worship,worship,130
pop,pop rap,130
neo soul,urban contemporary,130
rock-and-roll,rock-and-roll,129
lilith,lilith,128
electropop,electropop,128
neo soul,r&b,127
folk-pop,indie pop,126
new jack swing,quiet storm,126
classic soul,soul,126
classic rock,soft rock,125
indie folk,indie pop,125
quiet storm,soul,123
nashville sound,nashville sound,123
art rock,rock,123
disco,quiet storm,122
dirty south rap,southern hip hop,122
europop,europop,122
glam metal,glam metal,121
alternative rock,rock,120
classic soul,motown,120
roots rock,singer-songwriter,119
metalcore,metalcore,119
christian music,worship,119
bubblegum pop,folk rock,118
east coast hip hop,east coast hip hop,118
alternative hip hop,alternative hip hop,117
folk rock,roots rock,117
melodic metalcore,melodic metalcore,117
new jack swing,r&b,117
motown,quiet storm,117
folk-pop,stomp and holler,116
new rave,new rave,116
alternative metal,rap rock,115
christian alternative rock,christian music,115
ccm,worship,114
neo mellow,pop rock,114
country rock,singer-songwriter,114
modern country rock,modern country rock,114
country rock,folk rock,113
ccm,christian music,113
disco,funk,112
traditional folk,traditional folk,112
uk pop,uk pop,112
new americana,new americana,111
classic rock,hard rock,111
indie folk,modern rock,111
alternative rock,indie rock,111
nu metal,rap rock,111
chamber pop,indie folk,110
glam metal,hard rock,109
dirty south rap,gangster rap,109
country gospel,country gospel,109
lounge,lounge,108
hip hop,trap music,108
chamber pop,folk-pop,107
indie folk,indie rock,107
permanent wave,permanent wave,107
merseybeat,merseybeat,106
classic rock,psychedelic rock,106
gangster rap,hardcore hip hop,106
gangster rap,trap music,106
disco,post-disco,106
blues-rock,rock,105
funk,motown,105
dance pop,urban contemporary,104
contemporary country,modern country rock,104
country road,modern country rock,104
folk,mellow gold,103
folk-pop,indie rock,103
alternative rock,modern rock,103
east coast hip hop,hip hop,103
country rock,roots rock,102
nashville sound,traditional country,102
art pop,art pop,102
dance pop,r&b,102
indietronica,modern rock,101
emo,pop punk,101
hip house,hip house,100
folk-pop,modern rock,100
brill building pop,bubblegum pop,100
indie pop,indietronica,100
hardcore hip hop,rap,100
dirty south rap,pop rap,100
album rock,art rock,99
dance-punk,dance-punk,99
classic soul,southern soul,99
chamber pop,indie pop,98
indie pop,stomp and holler,98
disco,motown,98
folk,traditional folk,97
folk rock,psychedelic rock,97
singer-songwriter,soft rock,97
alternative hip hop,hip hop,97
latin,latin,97
funk,post-disco,97
brill building pop,rock-and-roll,96
album rock,folk rock,96
ccm,christian alternative rock,96
east coast hip hop,hardcore hip hop,96
punk,punk,96
christian alternative rock,worship,96
atl hip hop,atl hip hop,96
folk-pop,singer-songwriter,95
art rock,classic rock,95
dance pop,pop rap,95
garage rock,modern rock,95
rock,singer-songwriter,94
symphonic rock,symphonic rock,94
dirty south rap,trap music,94
classic soul,funk,94
brill building pop,folk rock,93
alternative dance,alternative dance,93
edm,edm,93
alternative country,alternative country,92
folk-pop,lilith,92
classic soul,quiet storm,92
disco,soul,91
new wave pop,soft rock,91
pop,uk pop,91
modern rock,rock,91
soul,southern soul,91
country,modern country rock,91
adult standards,lounge,90
country rock,folk,90
folk,roots rock,90
hard rock,metal,90
synthpop,synthpop,90
modern rock,stomp and holler,90
garage rock,indie rock,90
adult standards,brill building pop,89
power pop,power pop,89
noise pop,noise pop,89
pop,rap,89
post-disco,quiet storm,89
art rock,symphonic rock,88
chamber pop,indie rock,87
freak folk,freak folk,87
post-grunge,rock,87
alternative metal,groove metal,87
tropical house,tropical house,87
dance pop,hip pop,87
quiet storm,r&b,87
rockabilly,rockabilly,86
country rock,mellow gold,86
melodic metalcore,metalcore,86
metalcore,screamo,86
jazz fusion,jazz fusion,85
mellow gold,roots rock,85
indie rock,stomp and holler,85
country rock,outlaw country,85
outlaw country,traditional country,85
neo soul,new jack swing,84
classic rock,roots rock,83
classic rock,singer-songwriter,83
vocal jazz,vocal jazz,83
new romantic,synthpop,83
alternative rock,post-grunge,83
country gospel,traditional country,83
psychedelic rock,rock,82
pop rock,post-grunge,82
post-grunge,rap rock,82
singer-songwriter,traditional folk,81
chamber pop,stomp and holler,81
hip pop,neo soul,81
gospel,gospel,81
electric blues,electric blues,80
bubblegum pop,merseybeat,80
dance pop,uk pop,80
rock,roots rock,80
new wave,synthpop,80
