year,genre_1,genre_2,co_occurrence_count
2000,dance pop,dance pop,31
2000,urban contemporary,urban contemporary,27
2000,r&b,r&b,26
2000,r&b,urban contemporary,26
2000,hip pop,hip pop,21
2000,hip pop,r&b,21
2000,hip pop,urban contemporary,21
2000,hip hop,hip hop,19
2000,dance pop,urban contemporary,18
2000,dance pop,r&b,17
2000,neo soul,neo soul,17
2000,dance pop,hip pop,15
2000,neo soul,r&b,15
2000,neo soul,urban contemporary,15
2000,new jack swing,new jack swing,15
2000,new jack swing,r&b,15
2000,new jack swing,urban contemporary,15
2000,pop rock,pop rock,14
2000,pop,pop,14
2000,dance pop,neo soul,13
2000,hip pop,neo soul,13
2000,dance pop,pop,13
2000,post-grunge,post-grunge,12
2000,hip pop,new jack swing,12
2000,pop rap,pop rap,12
2000,dance pop,new jack swing,11
2000,neo soul,new jack swing,11
2000,hip hop,hip pop,11
2000,hip hop,r&b,11
2000,hip hop,urban contemporary,11
2000,country,country,10
2000,pop rock,post-grunge,10
2000,contemporary country,contemporary country,9
2000,contemporary country,country,9
2000,new jack swing,quiet storm,9
2000,quiet storm,quiet storm,9
2000,quiet storm,r&b,9
2000,quiet storm,urban contemporary,9
2000,dance pop,hip hop,9
2000,hip hop,pop rap,9
2000,southern hip hop,southern hip hop,9
2000,country,country road,8
2000,country road,country road,8
2000,dance pop,pop rap,8
2000,pop,urban contemporary,8
2000,dance pop,quiet storm,8
2000,neo soul,quiet storm,8
2000,hip hop,neo soul,8
2000,hip hop,rap,8
2000,rap,rap,8
2000,contemporary country,country road,7
2000,rock,rock,7
2000,pop,r&b,7
2000,pop rap,urban contemporary,7
2000,europop,europop,7
2000,hip pop,quiet storm,7
2000,hip hop,new jack swing,7
2000,dance pop,southern hip hop,7
2000,hip hop,southern hip hop,7
2000,pop rap,southern hip hop,7
2000,neo mellow,neo mellow,6
2000,neo mellow,pop rock,6
2000,hip pop,pop,6
2000,hip pop,pop rap,6
2000,pop rap,r&b,6
2000,boy band,boy band,6
2000,alternative rock,alternative rock,6
2000,alternative rock,post-grunge,6
2000,post-grunge,rock,6
2000,pop rap,rap,6
2000,gangster rap,gangster rap,6
2000,hip pop,southern hip hop,6
2000,r&b,southern hip hop,6
2000,southern hip hop,urban contemporary,6
2000,contemporary country,country dawn,5
2000,country,country dawn,5
2000,country dawn,country dawn,5
2000,neo mellow,post-grunge,5
2000,pop,pop rap,5
2000,boy band,dance pop,5
2000,dance pop,europop,5
2000,alternative metal,alternative metal,5
2000,alternative metal,post-grunge,5
2000,alternative rock,pop rock,5
2000,alternative rock,rock,5
2000,gangster rap,hip hop,5
2000,gangster rap,rap,5
2000,hip hop,quiet storm,5
2000,neo soul,southern hip hop,5
2000,alternative metal,nu metal,4
2000,alternative metal,pop rock,4
2000,alternative metal,rock,4
2000,nu metal,nu metal,4
2000,nu metal,post-grunge,4
2000,pop rock,rock,4
2000,hip hop,pop,4
2000,pop punk,pop punk,4
2000,pop punk,pop rock,4
2000,pop punk,post-grunge,4
2000,dance pop,post-teen pop,4
2000,post-teen pop,post-teen pop,4
2000,rap,southern hip hop,4
2000,gangster rap,pop rap,4
2000,new jack swing,southern hip hop,4
2000,deep pop r&b,deep pop r&b,4
2000,deep pop r&b,hip pop,4
2000,deep pop r&b,r&b,4
2000,deep pop r&b,urban contemporary,4
2000,country dawn,country road,3
2000,girl group,girl group,3
2000,girl group,hip pop,3
2000,girl group,r&b,3
2000,girl group,urban contemporary,3
2000,boy band,europop,3
2000,neo soul,pop,3
2000,alternative metal,alternative rock,3
2000,nu metal,pop rock,3
2000,nu metal,rock,3
2000,pop,post-teen pop,3
2000,latin,latin,3
2000,latin,tropical,3
2000,tropical,tropical,3
2000,east coast hip hop,east coast hip hop,3
2000,east coast hip hop,hardcore hip hop,3
2000,east coast hip hop,hip hop,3
2000,hardcore hip hop,hardcore hip hop,3
2000,hardcore hip hop,hip hop,3
2000,alternative rock,pop punk,3
2000,neo soul,pop rap,3
2000,new jack swing,pop rap,3
2000,quiet storm,southern hip hop,3
2000,permanent wave,permanent wave,3
2000,g funk,g funk,3
2000,g funk,hip hop,3
2000,g funk,rap,3
2000,dance pop,deep pop r&b,3
2000,deep pop r&b,neo soul,3
2000,contemporary country,pop rock,2
2000,country,pop rock,2
2000,country dawn,pop rock,2
2000,dance pop,girl group,2
