genre_1,genre_2,co_occurrence_count
dance pop,dance pop,38
pop,pop,38
pop rap,pop rap,34
dance pop,pop,31
dance pop,pop rap,20
urban contemporary,urban contemporary,19
r&b,r&b,18
dance pop,post-teen pop,17
post-teen pop,post-teen pop,17
pop rap,rap,17
rap,rap,17
pop,pop rap,17
hip hop,hip hop,16
dance pop,urban contemporary,16
r&b,urban contemporary,16
southern hip hop,southern hip hop,15
pop,post-teen pop,15
hip hop,pop rap,15
hip hop,rap,15
trap music,trap music,14
pop rap,southern hip hop,14
dance pop,r&b,14
pop,urban contemporary,14
southern hip hop,trap music,13
neo mellow,neo mellow,13
pop rock,pop rock,13
pop rap,trap music,13
pop,r&b,13
neo mellow,pop rock,12
rap,southern hip hop,12
pop rap,urban contemporary,12
gangster rap,gangster rap,11
gangster rap,pop rap,11
gangster rap,rap,11
hip hop,southern hip hop,11
rap,trap music,11
dirty south rap,dirty south rap,10
dirty south rap,southern hip hop,10
gangster rap,hip hop,10
gangster rap,southern hip hop,10
hip hop,trap music,10
pop rap,r&b,10
dirty south rap,trap music,9
dirty south rap,pop rap,9
hip pop,hip pop,9
hip pop,urban contemporary,9
neo mellow,pop,9
pop,pop rock,9
alternative metal,alternative metal,8
alternative metal,post-grunge,8
post-grunge,post-grunge,8
dirty south rap,gangster rap,8
dirty south rap,rap,8
gangster rap,trap music,8
dance pop,hip pop,8
alternative metal,nu metal,7
nu metal,nu metal,7
nu metal,post-grunge,7
dirty south rap,hip hop,7
hip pop,r&b,7
dance pop,neo mellow,7
dance pop,pop rock,6
dance pop,hip hop,6
dance pop,rap,6
hip pop,pop rap,6
hip pop,pop,6
dance pop,deep pop r&b,5
deep pop r&b,deep pop r&b,5
deep pop r&b,hip pop,5
deep pop r&b,r&b,5
deep pop r&b,urban contemporary,5
post-teen pop,urban contemporary,5
dance pop,southern hip hop,5
hip hop,urban contemporary,5
pop rap,post-teen pop,5
neo soul,neo soul,5
neo soul,r&b,5
neo soul,urban contemporary,5
hip hop,pop,5
pop,rap,5
neo mellow,post-teen pop,5
crunk,crunk,4
crunk,dirty south rap,4
crunk,gangster rap,4
crunk,pop rap,4
crunk,rap,4
crunk,southern hip hop,4
crunk,trap music,4
post-teen pop,r&b,4
dance pop,trap music,4
hip hop,hip pop,4
rap,urban contemporary,4
southern hip hop,urban contemporary,4
deep pop r&b,pop rap,4
hip pop,neo soul,4
pop,trap music,4
pop rock,post-teen pop,4
rock,rock,3
pop punk,pop punk,3
crunk,hip hop,3
atl hip hop,atl hip hop,3
atl hip hop,pop rap,3
chicago rap,chicago rap,3
chicago rap,pop rap,3
hip pop,rap,3
miami hip hop,miami hip hop,3
miami hip hop,pop rap,3
acoustic pop,acoustic pop,3
acoustic pop,neo mellow,3
acoustic pop,pop,3
acoustic pop,pop rock,3
dance pop,folk-pop,3
folk-pop,folk-pop,3
folk-pop,neo mellow,3
folk-pop,pop,3
folk-pop,pop rock,3
dance pop,neo soul,3
deep pop r&b,pop,3
hip hop,r&b,3
pop,southern hip hop,3
r&b,rap,3
r&b,southern hip hop,3
r&b,trap music,3
trap music,urban contemporary,3
neo soul,pop,3
dance pop,viral pop,3
neo mellow,viral pop,3
post-teen pop,viral pop,3
viral pop,viral pop,3
deep southern trap,deep southern trap,2
deep southern trap,dirty south rap,2
deep southern trap,southern hip hop,2
deep southern trap,trap music,2
alternative metal,rap rock,2
nu metal,rap rock,2
post-grunge,rap rock,2
