sub_genre,primary_main_genre,artist_count
8-bit,8-bit,2
a cappella,a cappella,15
abstract beats,abstract beats,1
abstract hip hop,abstract hip hop,13
acid house,acid house,7
acid jazz,acid jazz,12
acoustic blues,acoustic blues,9
acoustic opm,acoustic opm,1
acoustic pop,acoustic pop,79
acoustic punk,acoustic punk,3
adoracao,adoracao,3
adult standards,adult standards,207
african rock,african rock,1
afrikaans,afrikaans,1
afro dancehall,afro dancehall,2
afro house,afro house,1
afrobeat,afrobeat,9
afropop,afropop,6
alabama indie,alabama indie,2
alabama metal,alabama metal,6
alabama rap,alabama rap,5
alaska indie,alaska indie,1
alberta country,alberta country,7
album rock,album rock,305
albuquerque indie,albuquerque indie,2
alt-idol,alt-idol,1
alternative americana,alternative americana,4
alternative ccm,alternative ccm,1
alternative country,alternative country,88
alternative dance,alternative dance,93
alternative emo,alternative emo,42
alternative hip hop,alternative hip hop,111
alternative metal,alternative metal,275
alternative pop,alternative pop,36
alternative pop rock,alternative pop rock,10
alternative r&b,alternative r&b,37
alternative rock,alternative rock,135
alternative roots rock,alternative roots rock,6
ambeat,ambeat,1
ambient,ambient,4
ambient folk,ambient folk,4
ambient techno,ambient techno,1
ambient worship,ambient worship,1
american choir,american choir,2
american contemporary classical,american contemporary classical,1
american folk revival,american folk revival,20
american modern classical,american modern classical,5
american post-rock,alternative metal,1
american romanticism,american romanticism,1
american shoegaze,american shoegaze,2
anarcho-punk,anarcho-punk,1
anglican liturgy,anglican liturgy,1
anime,anime,2
anime score,anime score,2
ann arbor indie,acoustic pop,1
anthem emo,alternative emo,24
anthem worship,anthem worship,73
anti-folk,anti-folk,13
antiviral pop,antiviral pop,6
appalachian folk,appalachian folk,7
arab folk,arab folk,1
argentine punk,argentine punk,1
argentine rock,argentine punk,1
arkansas country,arkansas country,13
art pop,art pop,49
art rock,album rock,97
athens indie,athens indie,1
atl hip hop,atl hip hop,92
atl trap,atl hip hop,5
atlanta indie,alternative dance,1
atmosphere,atmosphere,1
atmospheric black metal,atmospheric black metal,2
atmospheric post-metal,alternative metal,1
atmospheric sludge,alternative metal,1
auckland indie,alternative dance,1
audiophile vocal,audiophile vocal,3
aussietronica,aussietronica,3
austindie,austindie,3
australian alternative rock,australian alternative rock,6
australian americana,australian americana,1
australian children's music,australian children's music,2
australian country,australian country,2
australian dance,australian dance,10
australian electropop,alternative dance,2
australian hip hop,australian hip hop,1
australian house,australian dance,1
australian indie,australian indie,4
australian jazz,australian jazz,1
australian metal,australian metal,1
australian metalcore,australian metalcore,3
australian pop,australian pop,52
australian post-hardcore,australian metalcore,1
australian psych,alternative metal,1
australian r&b,alternative r&b,1
australian reggae fusion,australian reggae fusion,2
australian rock,australian rock,14
australian talent show,australian pop,3
australian trap,australian trap,1
australian underground hip hop,australian trap,1
austropop,austropop,2
avant-garde,avant-garde,3
avant-garde jazz,avant-garde jazz,11
avantgarde metal,avantgarde metal,2
axe,axe,4
azonto,afro dancehall,2
bachata,bachata,7
background music,background music,4
bagpipe,bagpipe,2
baile pop,baile pop,8
balearic,balearic,1
ballroom,ballroom,6
baltimore indie,art pop,4
banda,banda,41
banda caliente,banda,1
banjo,banjo,8
baroque,baroque,1
baroque ensemble,baroque ensemble,2
baroque pop,baroque pop,12
bass house,bass house,3
bass trap,bass trap,7
bass trip,bass trip,1
basshall,basshall,3
bassline,bassline,2
bath indie,bath indie,1
baton rouge rap,baton rouge rap,1
battle rap,battle rap,15
bay area indie,bay area indie,10
bboy,bboy,3
beach music,beach music,14
bebop,bebop,26
bedroom pop,bedroom pop,1
belgian dance,belgian dance,2
belgian edm,belgian dance,1
belgian indie,belgian indie,1
belgian modern jazz,belgian modern jazz,1
belgian pop,belgian pop,1
belgian rock,alternative pop,1
beninese pop,afropop,1
bergen indie,bergen indie,3
big band,adult standards,10
big beat,big beat,16
big room,big room,31
birmingham grime,birmingham grime,1
birmingham metal,album rock,3
black metal,black metal,5
black thrash,black thrash,2
blackgaze,atmospheric black metal,1
blaskapelle,blaskapelle,1
bluegrass,bluegrass,12
blues,blues,43
blues-rock,album rock,76
bmore,bmore,2
bolero,bolero,9
boogaloo,boogaloo,9
boogie-woogie,blues,1
boom bap,alternative hip hop,16
bossa nova,bossa nova,12
bossa nova jazz,bossa nova jazz,1
boston hardcore,alternative emo,2
boston hip hop,boston hip hop,4
boston metal,boston metal,4
boston punk,boston punk,3
boston rock,boston rock,5
bounce,bounce,5
bouzouki,bouzouki,1
bow pop,bow pop,16
boy band,boy band,47
boy pop,boy pop,2
brass band,brass band,1
brazilian edm,brazilian edm,12
brazilian gospel,adoracao,2
brazilian hip hop,brazilian hip hop,7
brazilian house,brazilian edm,3
brazilian indie,baile pop,1
brazilian metal,alternative metal,1
brazilian punk,brazilian punk,1
brazilian reggae,brazilian hip hop,1
brazilian rock,brazilian rock,2
brazilian thrash metal,alternative metal,1
breakbeat,big beat,5
brighton indie,alternative dance,2
brill building pop,brill building pop,110
brit funk,brit funk,7
british alternative rock,british alternative rock,2
british black metal,alternative metal,1
british blues,album rock,18
british brass band,british brass band,2
british choir,british choir,1
british comedy,british comedy,1
british dance band,british dance band,4
british folk,british folk,11
british indie rock,british indie rock,1
british invasion,british invasion,20
british jazz,british jazz,2
british modern classical,british modern classical,1
british post-rock,british post-rock,1
british singer-songwriter,british singer-songwriter,4
british soul,british soul,26
british soundtrack,british soundtrack,14
britpop,britpop,35
broadway,broadway,31
brooklyn indie,brooklyn indie,6
brostep,brostep,9
brutal death metal,brutal death metal,6
brutal deathcore,brutal deathcore,2
bubble trance,bubble trance,3
bubblegum dance,bubblegum dance,29
bubblegum pop,bubblegum pop,89
buffalo ny indie,anti-folk,1
buffalo ny metal,buffalo ny metal,3
c86,c86,6
cabaret,cabaret,2
cali rap,cali rap,20
calypso,adult standards,1
canadian blues,canadian blues,2
canadian ccm,anthem worship,3
canadian celtic,canadian celtic,3
canadian classical,canadian classical,1
canadian comedy,canadian comedy,1
canadian contemporary country,alberta country,5
canadian contemporary r&b,canadian contemporary r&b,4
canadian country,alberta country,7
canadian electronic,big room,1
canadian electropop,canadian electropop,1
canadian folk,canadian folk,6
canadian hardcore,canadian hardcore,3
canadian hip hop,canadian hip hop,7
canadian indie,canadian indie,11
canadian indigenous,american folk revival,1
canadian latin,canadian latin,1
canadian metal,album rock,6
canadian modern jazz,alternative hip hop,1
canadian pop,canadian pop,18
canadian pop punk,alternative metal,1
canadian post-hardcore,canadian post-hardcore,3
canadian post-rock,canadian post-rock,1
canadian punk,canadian hardcore,3
canadian rock,alternative metal,9
canadian singer-songwriter,canadian singer-songwriter,3
canadian soundtrack,canadian soundtrack,4
candy pop,candy pop,34
cantautor,cantautor,3
canterbury scene,art rock,28
canzone napoletana,canzone napoletana,1
cape town indie,cape town indie,1
cartoon,cartoon,2
catstep,brostep,2
ccm,anthem worship,69
cedm,anthem worship,1
cello,bow pop,1
celtic,celtic,14
celtic metal,bow pop,1
celtic punk,alternative roots rock,1
celtic rock,celtic,7
chamber orchestra,chamber orchestra,3
chamber pop,chamber pop,35
chamber psych,alternative rock,4
champeta,champeta,1
channel islands indie,channel islands indie,1
channel pop,channel pop,4
chanson,chanson,10
chanson quebecois,chanson quebecois,1
chaotic hardcore,alternative emo,3
charlotte nc indie,charlotte nc indie,1
charlottesville indie,acoustic pop,1
chicago blues,blues,5
chicago drill,chicago drill,4
chicago hardcore,alternative metal,1
chicago house,chicago house,8
chicago indie,alternative rock,3
chicago pop punk,alternative emo,2
chicago punk,chicago punk,5
chicago rap,chicago rap,21
chicago soul,chicago soul,28
chicano rap,chicano rap,26
children's music,children's music,4
chillhop,chillhop,4
chillwave,alternative dance,24
chinese hip hop,chinese hip hop,1
chinese idol pop,chinese hip hop,1
chiptune,8-bit,1
choral,american choir,1
choro,choro,1
christelijk,anthem worship,1
christian a cappella,a cappella,2
christian alternative rock,anthem worship,48
christian dance,anthem worship,1
christian deathcore,christian deathcore,1
christian hard rock,christian alternative rock,2
christian hardcore,christian hardcore,15
christian hip hop,christian hip hop,18
christian indie,anthem worship,5
christian metal,christian hardcore,9
christian music,anthem worship,59
christian pop,anthem worship,22
christian punk,christian alternative rock,7
christian relaxative,christian music,4
christian rock,christian alternative rock,20
christian trap,christian hip hop,11
christian uplift,anthem worship,5
christmas product,christmas product,2
chutney,chutney,2
cincinnati indie,cincinnati indie,1
cinematic post-rock,american post-rock,1
classic belgian pop,classic belgian pop,2
classic bollywood,chutney,1
classic canadian rock,classic canadian rock,20
classic danish pop,classic danish pop,3
classic garage rock,classic garage rock,36
classic girl group,brill building pop,14
classic greek pop,bouzouki,1
classic italian pop,classic italian pop,3
classic norwegian pop,classic norwegian pop,2
classic nz pop,classic nz pop,2
classic opm,classic opm,1
classic praise,classic praise,3
classic psychedelic rock,classic garage rock,2
classic rock,album rock,172
classic russian rock,classic russian rock,3
classic schlager,classic schlager,5
classic soul,classic soul,144
classic soundtrack,classic soundtrack,35
classic swedish pop,classic swedish pop,8
classic uk pop,classic uk pop,69
classical,classical,17
classical bass,classical bass,1
classical cello,classical cello,1
classical era,classical,2
classical flute,classical flute,2
classical mandolin,bluegrass,1
classical mezzo-soprano,classical mezzo-soprano,2
classical organ,anglican liturgy,1
classical performance,classical performance,13
classical piano,classical piano,3
classical soprano,classical soprano,6
classical tenor,classical tenor,4
classical trumpet,bebop,1
classify,classify,5
clean comedy,clean comedy,6
cleveland indie,alternative rock,1
collage pop,chamber pop,1
college a cappella,a cappella,3
colombian pop,colombian pop,5
columbus ohio indie,christian alternative rock,1
comedienne,comedienne,5
comedy,comedy,33
comedy rock,comedy rock,1
comic,comic,31
comic metal,comic metal,3
complextro,big room,3
compositional ambient,compositional ambient,5
concert band,american romanticism,1
conscious hip hop,conscious hip hop,35
contemporary classical,american contemporary classical,1
contemporary country,contemporary country,206
contemporary gospel,contemporary gospel,18
contemporary jazz,contemporary jazz,8
contemporary post-bop,bebop,22
contrabass,contrabass,1
cool jazz,bebop,24
corrosion,corrosion,2
cosmic american,cosmic american,7
cosmic post-rock,british post-rock,1
country,contemporary country,167
country blues,blues,4
country dawn,contemporary country,54
country gospel,country gospel,48
country pop,contemporary country,40
