year,genre,artist_count,total_appearances
2023,pop,27,46
2023,dance pop,20,50
2023,rap,18,34
2023,pop rap,11,22
2023,post-teen pop,10,15
2023,trap music,8,11
2023,contemporary country,7,36
2023,hip hop,6,19
2023,southern hip hop,6,7
2023,country road,5,15
2023,uk pop,5,5
2023,r&b,5,6
2023,atl hip hop,3,12
2023,urban contemporary,3,3
2023,europop,2,2
2023,canadian pop,2,6
2023,adult standards,2,4
2023,hip pop,2,4
2023,reggaeton,2,6
2023,edm,1,1
2023,bubblegum dance,1,2
2023,eurodance,1,1
2023,dance rock,1,1
2023,disco,1,1
2023,motown,1,1
2023,new romantic,1,1
2023,new wave,1,1
2023,new wave pop,1,1
2023,soft rock,1,1
2023,atl trap,1,2
2023,underground hip hop,1,1
2023,vapor trap,1,1
2023,canadian hip hop,1,10
2023,toronto rap,1,5
2023,dfw rap,1,6
2023,philly rap,1,2
2023,american folk revival,1,1
2023,brill building pop,1,1
2023,easy listening,1,1
2023,lounge,1,1
2023,nashville sound,1,1
2023,rockabilly,1,1
2023,vocal jazz,1,1
2023,canadian contemporary r&b,1,2
2023,chicago drill,1,2
2023,chicago rap,1,1
2023,drill,1,1
2023,colombian pop,1,4
2023,latin,1,2
2023,latin pop,1,2
2023,mexican pop,1,2
2023,conscious hip hop,1,2
2023,nc hip hop,1,1
2023,country dawn,1,1
2023,deep talent show,1,8
2023,country,1,1
2023,electropop,1,2
2023,florida rap,1,2
2023,miami hip hop,1,1
2023,trap latino,1,2
2022,pop,22,40
2022,contemporary country,15,46
2022,rap,14,24
2022,country road,12,20
2022,dance pop,11,29
2022,post-teen pop,10,16
2022,pop rap,9,15
2022,country,8,10
2022,trap music,8,13
2022,modern country rock,7,9
2022,atl hip hop,5,18
2022,hip hop,5,13
2022,southern hip hop,5,9
2022,canadian pop,4,12
2022,uk pop,4,10
2022,piano rock,3,3
2022,reggaeton,3,19
2022,country pop,2,3
2022,modern rock,2,3
2022,rock,2,2
2022,atl trap,2,2
2022,gangster rap,2,2
2022,adult standards,2,4
2022,canadian contemporary r&b,2,6
2022,r&b,2,2
2022,afro dancehall,1,2
2022,afropop,1,1
2022,azonto,1,1
2022,nigerian hip hop,1,1
2022,nigerian pop,1,1
2022,modern uplift,1,1
2022,neo mellow,1,1
2022,pop rock,1,1
2022,gauze pop,1,2
2022,indietronica,1,1
2022,shiver pop,1,1
2022,canadian hip hop,1,6
2022,toronto rap,1,3
2022,dfw rap,1,4
2022,american folk revival,1,1
2022,brill building pop,1,1
2022,easy listening,1,1
2022,lounge,1,1
2022,nashville sound,1,1
2022,rockabilly,1,1
2022,vocal jazz,1,1
2022,alternative r&b,1,2
2022,viral pop,1,1
2022,art pop,1,2
2022,art rock,1,1
2022,baroque pop,1,1
2022,dance rock,1,1
2022,lilith,1,1
2022,new wave,1,1
2022,new wave pop,1,1
2022,permanent wave,1,1
2022,singer-songwriter,1,1
2022,british soul,1,4
2022,chicago drill,1,4
2022,chicago rap,1,2
2022,drill,1,2
2022,deep talent show,1,5
2022,outlaw country,1,1
2022,red dirt,1,1
2022,texas country,1,1
2022,country rap,1,4
2022,crunk,1,2
2022,dirty south rap,1,1
2022,memphis hip hop,1,1
2022,electropop,1,1
2022,hip pop,1,1
2022,urban contemporary,1,1
2022,escape room,1,2
2022,florida rap,1,2
2022,miami hip hop,1,1
2022,glam rock,1,2
2022,mellow gold,1,1
2022,latin viral pop,1,2
2022,rap latina,1,1
2022,trap latino,1,7
2021,pop,29,48
2021,rap,21,40
2021,contemporary country,16,35
2021,pop rap,13,23
2021,trap music,12,20
2021,dance pop,12,34
2021,country road,12,14
2021,country,11,12
2021,southern hip hop,9,13
2021,hip hop,9,22
2021,post-teen pop,9,18
2021,modern country rock,8,9
2021,atl hip hop,6,19
2021,country pop,4,5
2021,canadian pop,4,22
2021,canadian contemporary r&b,3,10
2021,uk pop,3,4
2021,canadian hip hop,2,14
2021,toronto rap,2,7
2021,modern rock,2,3
2021,atl trap,2,6
2021,gangster rap,2,3
2021,chicago rap,2,6
2021,r&b,2,2
2021,edm,1,1
2021,tropical house,1,1
2021,brostep,1,2
2021,progressive electro house,1,1
2021,miami hip hop,1,1
2021,afro dancehall,1,2
2021,afropop,1,1
2021,azonto,1,1
2021,nigerian hip hop,1,1
2021,nigerian pop,1,1
2021,boy band,1,2
2021,modern uplift,1,1
2021,gauze pop,1,2
2021,indietronica,1,1
2021,shiver pop,1,1
2021,k-pop,1,4
2021,k-pop boy group,1,2
2021,adult standards,1,2
2021,brill building pop,1,1
2021,easy listening,1,1
2021,lounge,1,1
2021,nashville sound,1,1
2021,rockabilly,1,1
2021,vocal jazz,1,1
2021,alternative r&b,1,2
2021,australian country,1,2
2021,chicago drill,1,8
2021,drill,1,4
2021,conscious hip hop,1,1
2021,colombian pop,1,2
2021,country dawn,1,1
2021,redneck,1,1
2021,country rap,1,4
2021,crunk,1,2
2021,dirty south rap,1,1
2021,memphis hip hop,1,1
2021,viral pop,1,1
2021,urban contemporary,1,1
2021,dutch pop,1,2
2021,electropop,1,4
2021,escape room,1,2
2021,reggaeton,1,4
2021,trap latino,1,2
2020,pop,35,56
2020,rap,23,49
2020,trap music,17,31
2020,pop rap,16,24
2020,dance pop,16,43
2020,contemporary country,15,40
2020,hip hop,12,20
2020,post-teen pop,12,19
2020,southern hip hop,10,16
2020,country road,10,15
2020,country,7,8
2020,atl hip hop,5,22
2020,canadian pop,4,17
2020,country pop,3,3
2020,modern country rock,3,4
2020,r&b,3,4
2020,uk pop,3,5
2020,atl trap,2,8
2020,gangster rap,2,3
2020,cali rap,2,6
2020,canadian hip hop,2,12
2020,toronto rap,2,6
2020,viral pop,2,2
2020,chicago rap,2,11
2020,electropop,2,5
2020,rap conscient,1,2
2020,vapor trap,1,1
2020,brostep,1,2
2020,progressive electro house,1,1
2020,miami hip hop,1,1
2020,boy band,1,2
2020,k-pop,1,2
2020,k-pop boy group,1,1
2020,detroit hip hop,1,2
2020,g funk,1,1
2020,dfw rap,1,2
2020,canadian contemporary r&b,1,4
2020,chicago drill,1,2
2020,drill,1,1
2020,deep talent show,1,2
2020,country dawn,1,1
2020,country rap,1,2
2020,etherpop,1,1
2020,indie poptimism,1,1
2020,europop,1,1
2020,hip pop,1,1
2020,pop rock,1,1
2020,urban contemporary,1,1
2020,east coast hip hop,1,2
2020,new orleans rap,1,1
2020,latin,1,2
2020,reggaeton,1,1
2019,pop,39,93
2019,rap,22,47
2019,dance pop,18,50
2019,trap music,16,25
2019,post-teen pop,15,25
2019,pop rap,14,23
2019,contemporary country,11,30
