genre,degree,total_connections
rock,252,4142
modern rock,244,2814
indie rock,218,2607
folk-pop,218,2500
pop,212,2163
alternative rock,207,2251
pop rock,207,1771
dance pop,201,2207
singer-songwriter,198,2798
indie pop,194,2131
indie folk,188,1940
alternative metal,176,1559
garage rock,172,1205
indietronica,170,1418
art rock,168,2108
art pop,163,1138
chamber pop,162,1457
dance-punk,157,958
new rave,154,1115
folk rock,149,2890
new wave,148,1571
stomp and holler,148,1382
roots rock,144,1968
dance rock,140,1652
funk,140,1476
folk,138,1864
new wave pop,134,1619
noise pop,133,1126
alternative dance,132,880
hard rock,130,1737
mellow gold,129,2624
post-grunge,129,1232
neo mellow,129,770
blues-rock,128,1526
nu metal,128,1216
freak folk,127,1069
lo-fi,127,1006
classic rock,126,2421
electropop,126,843
country rock,125,1943
metal,125,974
lilith,125,782
psychedelic rock,124,1429
punk,124,623
dream pop,123,863
pop rap,117,2220
electronic,117,463
permanent wave,116,792
album rock,115,2226
hip hop,114,2365
traditional folk,114,936
post-hardcore,110,490
soft rock,109,2198
groove metal,108,878
emo,108,657
soul,107,1426
melancholia,106,453
adult standards,104,1130
experimental rock,104,544
power pop,103,699
new americana,101,851
experimental,99,343
alternative country,98,848
rap rock,98,809
rap,97,2243
post-punk,97,676
slow core,97,619
neo soul,95,1007
pop punk,95,866
noise rock,95,506
edm,95,496
nu gaze,94,476
anti-folk,93,533
new romantic,91,1033
classic uk pop,91,917
tropical house,91,485
metropopolis,91,377
chillwave,90,611
trip hop,89,301
heartland rock,88,654
southern hip hop,87,1867
disco,85,1171
jazz fusion,85,482
piano rock,85,317
jazz funk,84,689
jangle pop,84,384
canadian pop,84,189
brill building pop,83,1233
post-teen pop,83,754
baroque pop,83,246
quiet storm,82,1632
rockabilly,82,517
comic,82,201
pub rock,80,470
uk pop,79,534
screamo,78,649
shimmer pop,78,429
industrial rock,78,373
death metal,78,341
punk blues,78,252
rock-and-roll,77,790
protopunk,76,471
alternative pop,76,337
lounge,75,487
urban contemporary,74,1693
bubblegum pop,74,1098
melodic metalcore,74,548
europop,74,501
progressive metal,74,330
speed metal,73,463
escape room,73,201
canadian indie,73,180
indie poptimism,72,376
jam band,72,310
fourth world,72,120
gangster rap,70,1583
chamber psych,70,200
motown,69,1176
metalcore,69,520
funk rock,69,163
post-rock,69,135
trap music,68,1331
symphonic rock,68,679
electro house,68,367
vocal jazz,68,361
acoustic pop,68,345
britpop,68,282
shoegaze,68,202
canadian rock,67,144
hip pop,66,1194
neo-psychedelic,66,240
electric blues,65,549
garage psych,65,245
indie punk,65,170
hip house,64,327
glam rock,64,285
bow pop,63,84
r&b,62,1323
modern blues,62,418
progressive rock,60,470
preverb,60,246
hardcore punk,60,116
classic soul,59,960
post-disco,59,723
christian alternative rock,59,618
modern blues rock,59,239
neo-synthpop,59,189
candy pop,59,152
glam metal,58,453
melodic hardcore,58,218
underground hip hop,57,340
christian rock,56,346
experimental pop,56,176
alternative hip hop,55,525
latin,55,386
outlaw country,54,888
traditional country,54,740
synthpop,54,498
industrial metal,54,392
conscious hip hop,54,324
canterbury scene,54,244
alternative r&b,54,212
girl group,54,212
zolo,54,202
mathcore,54,176
philly indie,54,113
new jack swing,53,985
country,53,984
blues,53,390
skate punk,53,238
indie r&b,53,135
canadian metal,53,102
australian pop,52,247
funk metal,52,223
industrial,52,134
boston rock,52,97
stoner rock,51,197
deep new americana,51,188
gbvfi,51,185
brooklyn indie,51,178
la indie,51,171
celtic rock,51,86
merseybeat,50,616
southern soul,50,611
tropical,50,321
soul jazz,50,304
electro,50,275
indiecoustica,50,258
math rock,50,127
british invasion,49,365
southern rock,49,337
grunge,49,250
melodic death metal,49,148
thrash metal,48,296
sludge metal,48,157
uk post-punk,48,149
canadian singer-songwriter,48,145
no wave,48,139
new jersey indie,48,94
australian dance,48,77
hardcore hip hop,47,929
dreamo,47,236
power metal,47,217
boy band,47,198
christian music,46,623
nashville sound,46,575
british blues,46,341
easy listening,46,262
texas country,45,486
jazz,45,342
rhythm and blues,45,316
classic garage rock,45,287
latin pop,45,269
pop emo,45,254
philly soul,45,237
progressive post-hardcore,45,151
big beat,45,128
vocal house,45,107
dirty south rap,44,777
neon pop punk,44,289
progressive bluegrass,44,178
classic canadian rock,44,172
crossover thrash,44,162
emo punk,44,89
contemporary country,43,781
ccm,43,614
rap metal,43,254
pixie,43,155
djent,43,137
instrumental rock,43,119
post-metal,43,108
yacht rock,42,359
contemporary post-bop,42,302
old school thrash,42,204
indie garage rock,42,117
cosmic american,42,111
doom metal,42,103
jazz blues,42,102
worship,41,610
cool jazz,41,325
alternative emo,41,199
stoner metal,41,148
modern alternative rock,41,97
east coast hip hop,40,621
deathcore,40,212
latin hip hop,40,176
swing,40,157
ska,40,139
bay area indie,40,83
folk punk,40,59
bebop,39,313
native american,39,50
deep pop r&b,38,392
viral pop,38,188
downtempo,38,85
new weird america,38,67
chicago indie,38,67
chicago punk,38,51
atl hip hop,37,489
miami hip hop,37,118
hollywood,37,115
british folk,37,87
etherpop,36,69
compositional ambient,36,56
doo-wop,35,271
hard bop,35,228
big room,35,224
freakbeat,35,205
brostep,35,127
house,35,125
reggae fusion,35,93
canadian country,35,90
british soul,35,87
swedish electropop,35,81
vapor soul,35,80
australian rock,35,80
scottish indie,35,65
indie jazz,35,64
electronic rock,35,64
traditional blues,34,168
neo classical metal,34,137
wrestling,34,99
gothic metal,34,68
old school hip hop,33,255
eurodance,33,146
soul blues,33,131
swedish metal,33,96
louisiana blues,33,62
vancouver indie,33,48
ethereal wave,33,40
world worship,32,300
crunk,32,289
turntablism,32,219
red dirt,32,181
big band,32,141
indie surf,32,109
deathgrind,32,99
jazz trumpet,32,83
disco house,32,77
scottish rock,32,65
classical,32,53
country road,31,667
country dawn,31,233
post-screamo,31,147
ska punk,31,132
christian metal,31,129
bluegrass,31,126
black metal,31,61
shiver pop,31,41
sacramento indie,31,41
country gospel,30,466
west coast rap,30,293
chicago rap,30,132
ectofolk,30,111
diva house,30,104
contemporary jazz,30,94
latin jazz,30,82
trap queen,30,68
intelligent dance music,30,56
slayer,30,53
afropop,30,49
atlanta indie,30,47
electropowerpop,30,47
uk americana,30,33
modern country rock,29,425
redneck,29,167
jazz saxophone,29,116
avant-garde jazz,29,104
brutal death metal,29,84
harmonica blues,29,70
post-doom metal,29,69
filter house,29,62
space rock,29,62
nu disco,29,60
acid jazz,29,55
swedish synthpop,29,53
grave wave,29,43
deep house,29,40
laboratorio,29,31
