from,to,weight,year
a cappella,christian a cappella,0,2000
a cappella,christian a cappella,0,2001
a cappella,christian a cappella,0,2002
a cappella,christian a cappella,0,2003
a cappella,christian a cappella,0,2004
a cappella,christian a cappella,0,2005
a cappella,christian a cappella,0,2006
a cappella,christian a cappella,0,2007
a cappella,christian a cappella,0,2008
a cappella,christian a cappella,0,2009
a cappella,christian a cappella,0,2010
a cappella,christian a cappella,0,2011
a cappella,christian a cappella,0,2012
a cappella,christian a cappella,0,2013
a cappella,christian a cappella,0,2014
a cappella,christian a cappella,0,2015
a cappella,christian a cappella,0,2016
a cappella,christian a cappella,0,2017
a cappella,christian a cappella,0,2018
a cappella,christian a cappella,0,2019
a cappella,christian a cappella,0,2020
a cappella,christian a cappella,0,2021
a cappella,christian a cappella,0,2022
a cappella,christian a cappella,0,2023
a cappella,college a cappella,0,2000
a cappella,college a cappella,0,2001
a cappella,college a cappella,0,2002
a cappella,college a cappella,0,2003
a cappella,college a cappella,0,2004
a cappella,college a cappella,0,2005
a cappella,college a cappella,0,2006
a cappella,college a cappella,0,2007
a cappella,college a cappella,0,2008
a cappella,college a cappella,0,2009
a cappella,college a cappella,0,2010
a cappella,college a cappella,0,2011
a cappella,college a cappella,0,2012
a cappella,college a cappella,0,2013
a cappella,college a cappella,0,2014
a cappella,college a cappella,0,2015
a cappella,college a cappella,0,2016
a cappella,college a cappella,0,2017
a cappella,college a cappella,0,2018
a cappella,college a cappella,0,2019
a cappella,college a cappella,0,2020
a cappella,college a cappella,0,2021
a cappella,college a cappella,0,2022
a cappella,college a cappella,0,2023
a cappella,hollywood,0,2000
a cappella,hollywood,0,2001
a cappella,hollywood,0,2002
a cappella,hollywood,0,2003
a cappella,hollywood,0,2004
a cappella,hollywood,0,2005
a cappella,hollywood,0,2006
a cappella,hollywood,0,2007
a cappella,hollywood,0,2008
a cappella,hollywood,0,2009
a cappella,hollywood,0,2010
a cappella,hollywood,0,2011
a cappella,hollywood,0,2012
a cappella,hollywood,0,2013
a cappella,hollywood,0,2014
a cappella,hollywood,0,2015
a cappella,hollywood,0,2016
a cappella,hollywood,0,2017
a cappella,hollywood,0,2018
a cappella,hollywood,0,2019
a cappella,hollywood,0,2020
a cappella,hollywood,0,2021
a cappella,hollywood,0,2022
a cappella,hollywood,0,2023
abstract hip hop,alternative hip hop,0,2000
abstract hip hop,alternative hip hop,0,2001
abstract hip hop,alternative hip hop,0,2002
abstract hip hop,alternative hip hop,0,2003
abstract hip hop,alternative hip hop,0,2004
abstract hip hop,alternative hip hop,0,2005
abstract hip hop,alternative hip hop,0,2006
abstract hip hop,alternative hip hop,0,2007
abstract hip hop,alternative hip hop,0,2008
abstract hip hop,alternative hip hop,0,2009
abstract hip hop,alternative hip hop,0,2010
abstract hip hop,alternative hip hop,0,2011
abstract hip hop,alternative hip hop,0,2012
abstract hip hop,alternative hip hop,0,2013
abstract hip hop,alternative hip hop,0,2014
abstract hip hop,alternative hip hop,0,2015
abstract hip hop,alternative hip hop,0,2016
abstract hip hop,alternative hip hop,0,2017
abstract hip hop,alternative hip hop,0,2018
abstract hip hop,alternative hip hop,0,2019
abstract hip hop,alternative hip hop,0,2020
abstract hip hop,alternative hip hop,0,2021
abstract hip hop,alternative hip hop,0,2022
abstract hip hop,alternative hip hop,0,2023
abstract hip hop,conscious hip hop,0,2000
abstract hip hop,conscious hip hop,0,2001
abstract hip hop,conscious hip hop,0,2002
abstract hip hop,conscious hip hop,0,2003
abstract hip hop,conscious hip hop,0,2004
abstract hip hop,conscious hip hop,0,2005
abstract hip hop,conscious hip hop,0,2006
abstract hip hop,conscious hip hop,0,2007
abstract hip hop,conscious hip hop,0,2008
abstract hip hop,conscious hip hop,0,2009
abstract hip hop,conscious hip hop,0,2010
abstract hip hop,conscious hip hop,0,2011
abstract hip hop,conscious hip hop,0,2012
abstract hip hop,conscious hip hop,0,2013
abstract hip hop,conscious hip hop,0,2014
abstract hip hop,conscious hip hop,0,2015
abstract hip hop,conscious hip hop,0,2016
abstract hip hop,conscious hip hop,0,2017
abstract hip hop,conscious hip hop,0,2018
abstract hip hop,conscious hip hop,0,2019
abstract hip hop,conscious hip hop,0,2020
abstract hip hop,conscious hip hop,0,2021
abstract hip hop,conscious hip hop,0,2022
abstract hip hop,conscious hip hop,0,2023
abstract hip hop,hip hop,0,2000
abstract hip hop,hip hop,0,2001
abstract hip hop,hip hop,0,2002
abstract hip hop,hip hop,0,2003
abstract hip hop,hip hop,0,2004
abstract hip hop,hip hop,0,2005
abstract hip hop,hip hop,0,2006
abstract hip hop,hip hop,0,2007
abstract hip hop,hip hop,0,2008
abstract hip hop,hip hop,0,2009
abstract hip hop,hip hop,0,2010
abstract hip hop,hip hop,0,2011
abstract hip hop,hip hop,0,2012
abstract hip hop,hip hop,0,2013
abstract hip hop,hip hop,0,2014
abstract hip hop,hip hop,0,2015
abstract hip hop,hip hop,0,2016
abstract hip hop,hip hop,0,2017
abstract hip hop,hip hop,0,2018
abstract hip hop,hip hop,0,2019
abstract hip hop,hip hop,0,2020
abstract hip hop,hip hop,0,2021
abstract hip hop,hip hop,0,2022
abstract hip hop,hip hop,0,2023
abstract hip hop,indie pop rap,0,2000
abstract hip hop,indie pop rap,0,2001
abstract hip hop,indie pop rap,0,2002
abstract hip hop,indie pop rap,0,2003
abstract hip hop,indie pop rap,0,2004
abstract hip hop,indie pop rap,0,2005
abstract hip hop,indie pop rap,0,2006
abstract hip hop,indie pop rap,0,2007
abstract hip hop,indie pop rap,0,2008
abstract hip hop,indie pop rap,0,2009
abstract hip hop,indie pop rap,0,2010
abstract hip hop,indie pop rap,0,2011
abstract hip hop,indie pop rap,0,2012
abstract hip hop,indie pop rap,0,2013
abstract hip hop,indie pop rap,0,2014
abstract hip hop,indie pop rap,0,2015
abstract hip hop,indie pop rap,0,2016
abstract hip hop,indie pop rap,0,2017
abstract hip hop,indie pop rap,0,2018
abstract hip hop,indie pop rap,0,2019
abstract hip hop,indie pop rap,0,2020
abstract hip hop,indie pop rap,0,2021
abstract hip hop,indie pop rap,0,2022
abstract hip hop,indie pop rap,0,2023
abstract hip hop,minnesota hip hop,0,2000
abstract hip hop,minnesota hip hop,0,2001
abstract hip hop,minnesota hip hop,0,2002
abstract hip hop,minnesota hip hop,0,2003
abstract hip hop,minnesota hip hop,0,2004
abstract hip hop,minnesota hip hop,0,2005
abstract hip hop,minnesota hip hop,0,2006
abstract hip hop,minnesota hip hop,0,2007
abstract hip hop,minnesota hip hop,0,2008
abstract hip hop,minnesota hip hop,0,2009
abstract hip hop,minnesota hip hop,0,2010
abstract hip hop,minnesota hip hop,0,2011
abstract hip hop,minnesota hip hop,0,2012
abstract hip hop,minnesota hip hop,0,2013
abstract hip hop,minnesota hip hop,0,2014
abstract hip hop,minnesota hip hop,0,2015
abstract hip hop,minnesota hip hop,0,2016
abstract hip hop,minnesota hip hop,0,2017
abstract hip hop,minnesota hip hop,0,2018
abstract hip hop,minnesota hip hop,0,2019
abstract hip hop,minnesota hip hop,0,2020
abstract hip hop,minnesota hip hop,0,2021
abstract hip hop,minnesota hip hop,0,2022
abstract hip hop,minnesota hip hop,0,2023
abstract hip hop,pop rap,0,2000
abstract hip hop,pop rap,0,2001
abstract hip hop,pop rap,0,2002
abstract hip hop,pop rap,0,2003
abstract hip hop,pop rap,0,2004
abstract hip hop,pop rap,0,2005
abstract hip hop,pop rap,0,2006
abstract hip hop,pop rap,0,2007
abstract hip hop,pop rap,0,2008
abstract hip hop,pop rap,0,2009
abstract hip hop,pop rap,0,2010
abstract hip hop,pop rap,0,2011
abstract hip hop,pop rap,0,2012
abstract hip hop,pop rap,0,2013
abstract hip hop,pop rap,0,2014
abstract hip hop,pop rap,0,2015
abstract hip hop,pop rap,0,2016
abstract hip hop,pop rap,0,2017
abstract hip hop,pop rap,0,2018
abstract hip hop,pop rap,0,2019
abstract hip hop,pop rap,0,2020
abstract hip hop,pop rap,0,2021
abstract hip hop,pop rap,0,2022
