genre,main_genre,artists,degree,strength,betweenness
rock,ROCK,234,172,4062,162032.25
folk rock,OTHER,89,105,2846,45627
singer-songwriter,OTHER,54,140,2740,14171
modern rock,ROCK,62,153,2723,59555.42619047617
mellow gold,OTHER,145,96,2591,33109
indie rock,ROCK,69,128,2517,16454.50952380952
folk-pop,COUNTRY,46,145,2427,28311.00952380952
classic rock,ROCK,172,95,2390,7482
hip hop,HIP HOP,94,79,2330,31245
rap,HIP HOP,52,71,2217,6171.5
album rock,ROCK,305,86,2197,9617
pop rap,HIP HOP,72,82,2185,50610
alternative rock,ROCK,135,137,2181,23029.5
soft rock,ROCK,136,78,2167,32148
dance pop,POP,280,125,2131,120674.75
pop,POP,189,131,2082,74523.16666666666
art rock,ROCK,97,119,2059,25707.083333333332
indie pop,POP,45,116,2053,10463.576190476191
roots rock,OTHER,75,100,1924,11215
country rock,COUNTRY,47,85,1903,23318
indie folk,OTHER,34,117,1869,3339.2095238095235
southern hip hop,HIP HOP,65,62,1842,2076
folk,OTHER,47,97,1823,17
hard rock,ROCK,164,89,1696,8634.333333333334
pop rock,ROCK,37,129,1693,102145
urban contemporary,R&B,79,56,1675,43897
quiet storm,R&B,67,61,1611,43934
dance rock,ROCK,81,95,1607,7124
new wave pop,OTHER,68,96,1581,19062.75
gangster rap,HIP HOP,35,55,1568,6039
new wave,ROCK,64,96,1519,3224
blues-rock,ROCK,76,89,1487,9795
alternative metal,ROCK,275,94,1477,39540.66666666666
funk,R&B,78,89,1425,31772.5
chamber pop,OTHER,35,104,1399,2768.2928571428574
soul,R&B,77,76,1395,8498.5
psychedelic rock,OTHER,55,87,1392,6262
indietronica,OTHER,66,94,1342,13265.95
stomp and holler,OTHER,29,91,1325,30.192857142857143
trap music,HIP HOP,58,47,1310,4654.5
r&b,R&B,80,42,1303,588
brill building pop,OTHER,110,56,1206,33157
post-grunge,ROCK,173,72,1175,44795.5
hip pop,POP,65,45,1173,304
motown,R&B,78,53,1160,28546
nu metal,ROCK,197,70,1158,6852.166666666668
disco,ELECTRONIC,94,63,1149,22552
garage rock,ROCK,48,104,1137,5545.666666666666
adult standards,OTHER,207,67,1093,58734.5
noise pop,OTHER,31,87,1080,4661.666666666666
bubblegum pop,POP,89,53,1077,973
art pop,POP,49,90,1065,3369
new rave,OTHER,80,81,1042,12900.699999999999
freak folk,OTHER,23,76,1018,3700.083333333333
new romantic,OTHER,68,59,1001,414.5
new jack swing,R&B,37,37,969,12
neo soul,R&B,42,55,967,2784
country,COUNTRY,167,32,963,12607
lo-fi,OTHER,35,80,959,3
classic soul,R&B,144,39,940,945
metal,OTHER,54,77,926,32750.833333333336
hardcore hip hop,OTHER,66,39,921,1877.5
dance-punk,OTHER,54,92,893,179.36666666666667
traditional folk,OTHER,31,70,892,4224
classic uk pop,OTHER,69,54,880,3704
outlaw country,COUNTRY,34,41,875,1876
pop punk,ROCK,36,63,834,38379.5
groove metal,OTHER,83,59,829,6350.166666666667
dream pop,OTHER,17,80,820,2903.5
alternative dance,ELECTRONIC,93,69,817,2340.2
new americana,OTHER,45,61,811,3546.116666666667
alternative country,COUNTRY,88,56,806,1
electropop,POP,29,83,800,13704.366666666667
rap rock,OTHER,113,60,771,2778.3333333333335
contemporary country,COUNTRY,206,27,765,4636
dirty south rap,HIP HOP,48,31,764,4405
rock-and-roll,OTHER,58,50,763,932
permanent wave,ROCK,31,81,757,0
traditional country,OTHER,39,41,727,1887
lilith,OTHER,16,67,724,51
post-teen pop,POP,106,44,715,10493
neo mellow,R&B,65,69,710,4566
post-disco,OTHER,51,36,700,3863
jazz funk,OTHER,28,56,661,14555
power pop,OTHER,17,64,660,1129
country road,COUNTRY,146,21,657,21
symphonic rock,OTHER,53,46,657,998.0833333333333
post-punk,OTHER,24,71,650,947
heartland rock,OTHER,38,55,621,0
screamo,ROCK,18,50,621,10917.5
east coast hip hop,HIP HOP,53,31,612,0
emo,ROCK,42,60,609,5470
christian music,OTHER,59,28,605,3644.866666666667
merseybeat,OTHER,33,35,601,104
christian alternative rock,OTHER,48,37,596,18661.36666666667
southern soul,OTHER,61,35,596,1860
worship,OTHER,61,26,595,3464.7000000000007
ccm,OTHER,69,23,594,4669.033333333334
slow core,OTHER,18,62,584,0
punk,ROCK,15,84,583,20695
chillwave,OTHER,24,53,574,0.5
nashville sound,OTHER,35,32,561,0
electric blues,OTHER,36,43,527,2766
melodic metalcore,OTHER,24,52,526,15499.000000000002
experimental rock,OTHER,15,73,513,1.5
alternative hip hop,HIP HOP,111,32,502,6455.5
uk pop,OTHER,48,45,500,2.833333333333333
anti-folk,OTHER,13,59,499,0
metalcore,OTHER,20,43,494,1529.9999999999998
rockabilly,OTHER,40,49,484,1856
atl hip hop,HIP HOP,92,27,479,0
texas country,COUNTRY,30,35,476,0
synthpop,ELECTRONIC,43,30,474,929
noise rock,OTHER,18,59,470,2.5
europop,OTHER,25,42,469,11223
country gospel,OTHER,48,18,454,1857
jazz fusion,OTHER,16,53,450,11262
lounge,OTHER,90,36,448,30372
progressive rock,OTHER,39,37,447,11.083333333333334
pub rock,OTHER,12,56,446,0
edm,ELECTRONIC,30,44,445,21339.616666666665
post-hardcore,OTHER,10,65,445,77
protopunk,OTHER,12,48,443,0
tropical house,ELECTRONIC,36,47,441,5464.249999999999
nu gaze,OTHER,13,45,427,4.5
speed metal,OTHER,15,36,426,8.333333333333332
glam metal,ROCK,59,30,425,2
modern country rock,COUNTRY,97,18,414,0
electronic,OTHER,24,67,413,7960.75
melancholia,OTHER,13,60,407,0
modern blues,OTHER,27,45,401,0
shimmer pop,OTHER,17,34,385,0
blues,OTHER,43,43,380,4626
deep pop r&b,POP,25,24,378,0
anthem worship,OTHER,73,16,368,0
industrial metal,OTHER,51,29,367,5540.166666666666
latin,LATIN,60,34,365,25942
jangle pop,OTHER,18,51,351,0
yacht rock,OTHER,20,32,349,929
british invasion,OTHER,20,31,347,0
indie poptimism,POP,17,40,344,1750.5
industrial rock,OTHER,30,48,343,922.1666666666666
electro house,ELECTRONIC,27,39,338,3732.2
vocal jazz,OTHER,51,41,334,2055
metropopolis,OTHER,10,47,333,0.5
british blues,OTHER,18,34,329,0
jazz,OTHER,24,32,329,2916.1666666666665
christian rock,OTHER,20,35,325,22142.5
southern rock,OTHER,22,29,317,927
cool jazz,OTHER,24,27,311,422.3333333333333
underground hip hop,HIP HOP,19,28,311,1856
acoustic pop,POP,79,30,307,0
alternative pop,OTHER,36,46,307,0
experimental,OTHER,8,61,305,13
death metal,OTHER,14,41,304,5553.666666666666
bebop,OTHER,26,29,303,10.333333333333332
conscious hip hop,HIP HOP,35,31,301,0
rhythm and blues,OTHER,25,30,301,932
progressive metal,OTHER,17,45,301,970.5000000000001
tropical,LATIN,45,29,300,7331.5
hip house,OTHER,15,34,297,6757
contemporary post-bop,OTHER,22,27,287,2233.8333333333335
soul jazz,OTHER,16,33,287,936
world worship,OTHER,41,18,286,136.2
piano rock,OTHER,7,53,285,0
jam band,OTHER,17,41,279,2746
west coast rap,HIP HOP,34,15,278,0
thrash metal,OTHER,9,27,275,0
classic garage rock,OTHER,36,30,272,0
crunk,HIP HOP,23,15,272,0
neon pop punk,OTHER,16,26,271,925
trip hop,OTHER,15,54,266,1212.2500000000002
doo-wop,OTHER,24,23,259,0
glam rock,OTHER,17,38,259,0
latin pop,LATIN,30,31,255,12845.5
britpop,OTHER,35,37,251,0
electro,OTHER,30,25,250,928
cowboy western,OTHER,29,13,247,0
old school hip hop,OTHER,17,23,245,0
easy listening,OTHER,54,24,240,1878
pop emo,OTHER,12,30,239,1770
indiecoustica,OTHER,26,27,235,1243
rap metal,OTHER,34,21,232,0
grunge,ROCK,24,27,228,0
preverb,OTHER,4,39,225,0
