name,primary_main_genre,artist_count,macro_genre
hip hop,alternative hip hop,94,HIP HOP
pop rap,dance pop,72,HIP HOP
dance pop,dance pop,280,POP
mellow gold,album rock,145,OTHER
album rock,album rock,305,ROCK
r&b,dance pop,80,R&B
rap,atl hip hop,52,HIP HOP
indie rock,alternative rock,69,ROCK
classic rock,album rock,172,ROCK
alternative metal,alternative metal,275,ROCK
hard rock,album rock,164,ROCK
southern hip hop,atl hip hop,65,HIP HOP
folk rock,album rock,89,OTHER
contemporary country,contemporary country,206,COUNTRY
indie pop,alternative dance,45,POP
gangster rap,alternative hip hop,35,HIP HOP
dance rock,dance rock,81,ROCK
folk,alternative country,47,OTHER
folk-pop,folk-pop,46,COUNTRY
funk,funk,78,R&B
hardcore hip hop,alternative hip hop,66,OTHER
country,contemporary country,167,COUNTRY
quiet storm,classic soul,67,R&B
hip pop,dance pop,65,POP
new jack swing,new jack swing,37,R&B
new romantic,dance rock,68,OTHER
pop,dance pop,189,POP
blues-rock,album rock,76,ROCK
rock,album rock,234,ROCK
nu metal,alternative metal,197,ROCK
new wave,dance rock,64,ROCK
motown,classic soul,78,R&B
indie folk,alternative country,34,OTHER
neo soul,dance pop,42,R&B
classic soul,classic soul,144,R&B
art rock,album rock,97,ROCK
disco,disco,94,ELECTRONIC
dirty south rap,dirty south rap,48,HIP HOP
alternative rock,alternative rock,135,ROCK
roots rock,alternative country,75,OTHER
christian music,anthem worship,59,OTHER
bubblegum pop,bubblegum pop,89,POP
christian alternative rock,anthem worship,48,OTHER
ccm,anthem worship,69,OTHER
neo mellow,acoustic pop,65,R&B
country rock,album rock,47,COUNTRY
chamber pop,chamber pop,35,OTHER
glam metal,album rock,59,ROCK
country road,contemporary country,146,COUNTRY
east coast hip hop,east coast hip hop,53,HIP HOP
nashville sound,country,35,OTHER
indietronica,alternative dance,66,OTHER
emo,emo,42,ROCK
brill building pop,brill building pop,110,OTHER
singer-songwriter,album rock,54,OTHER
alternative hip hop,alternative hip hop,111,HIP HOP
garage rock,alternative rock,48,ROCK
new wave pop,dance rock,68,OTHER
modern rock,alternative rock,62,ROCK
soul,classic soul,77,R&B
adult standards,adult standards,207,OTHER
post-disco,disco,51,OTHER
post-grunge,alternative metal,173,ROCK
melodic metalcore,deathcore,24,OTHER
metalcore,deathcore,20,OTHER
outlaw country,alternative country,34,COUNTRY
country gospel,country gospel,48,OTHER
psychedelic rock,album rock,55,OTHER
pop rock,alternative rock,37,ROCK
alternative dance,alternative dance,93,ELECTRONIC
groove metal,alternative metal,83,OTHER
alternative country,alternative country,88,COUNTRY
rock-and-roll,adult standards,58,OTHER
metal,album rock,54,OTHER
permanent wave,alternative rock,31,ROCK
progressive rock,album rock,39,OTHER
anthem worship,anthem worship,73,OTHER
latin,latin,60,LATIN
freak folk,alternative rock,23,OTHER
dance-punk,alternative dance,54,OTHER
atl hip hop,atl hip hop,92,HIP HOP
acoustic pop,acoustic pop,79,POP
new americana,alternative country,45,OTHER
electropop,alternative dance,29,POP
merseybeat,brill building pop,33,OTHER
easy listening,adult standards,54,OTHER
lilith,alternative country,16,OTHER
classic uk pop,classic uk pop,69,OTHER
art pop,art pop,49,POP
post-teen pop,dance pop,106,POP
deep pop r&b,dance pop,25,POP
edm,big room,30,ELECTRONIC
cowboy western,country gospel,29,OTHER
world worship,anthem worship,41,OTHER
neon pop punk,emo,16,OTHER
industrial metal,alternative metal,51,OTHER
chillwave,alternative dance,24,OTHER
heartland rock,album rock,38,OTHER
lo-fi,alternative rock,35,OTHER
jangle pop,jangle pop,18,OTHER
electric blues,blues,36,OTHER
jazz funk,jazz funk,28,OTHER
blues,blues,43,OTHER
soft rock,album rock,136,ROCK
pop punk,emo,36,ROCK
classic garage rock,classic garage rock,36,OTHER
deathcore,deathcore,24,OTHER
conscious hip hop,conscious hip hop,35,HIP HOP
dream pop,alternative dance,17,OTHER
punk,alternative rock,15,ROCK
g funk,g funk,43,HIP HOP
europop,bubblegum dance,25,OTHER
british invasion,british invasion,20,OTHER
pop emo,emo,12,OTHER
crunk,crunk,23,HIP HOP
banda,banda,41,LATIN
lounge,adult standards,90,OTHER
norteno,banda,37,LATIN
scorecore,scorecore,15,OTHER
protopunk,album rock,12,OTHER
grupera,banda,34,OTHER
bebop,bebop,26,OTHER
cool jazz,bebop,24,OTHER
doo-wop,adult standards,24,OTHER
post-hardcore,emo,10,OTHER
alternative emo,alternative emo,42,ROCK
power pop,alternative country,17,OTHER
speed metal,alternative metal,15,OTHER
eurodance,eurodance,20,ELECTRONIC
contemporary post-bop,bebop,22,OTHER
indie poptimism,dance pop,17,POP
death metal,alternative metal,14,OTHER
latin pop,latin,30,LATIN
red dirt,outlaw country,12,COUNTRY
noise pop,alternative rock,31,OTHER
post-screamo,melodic metalcore,10,OTHER
british blues,album rock,18,OTHER
alternative pop,alternative pop,36,OTHER
anti-folk,anti-folk,13,OTHER
pub rock,alternative country,12,OTHER
rap metal,alternative metal,34,OTHER
freakbeat,classic garage rock,27,OTHER
bubblegum dance,bubblegum dance,29,OTHER
big room,big room,31,ELECTRONIC
industrial rock,alternative metal,30,OTHER
memphis soul,classic soul,18,OTHER
australian pop,australian pop,52,POP
canterbury scene,art rock,28,OTHER
electronic,alternative dance,24,OTHER
tropical house,dance pop,36,ELECTRONIC
grunge,alternative metal,24,ROCK
trap music,atl hip hop,58,HIP HOP
old school hip hop,electro,17,OTHER
electro,electro,30,OTHER
jam band,jam band,17,OTHER
dreamo,dreamo,36,OTHER
country dawn,contemporary country,54,COUNTRY
reggaeton,latin,25,LATIN
rhythm and blues,brill building pop,25,OTHER
country pop,contemporary country,40,COUNTRY
latin hip hop,latin,21,LATIN
comedy,comedy,33,OTHER
big beat,big beat,16,OTHER
chicago soul,chicago soul,28,OTHER
hollywood,hollywood,27,OTHER
hyphy,g funk,13,OTHER
progressive post-hardcore,dreamo,7,OTHER
rap rock,alternative metal,113,OTHER
boy band,boy band,47,POP
electro house,big room,27,ELECTRONIC
indiecoustica,acoustic pop,26,OTHER
piano rock,dreamo,7,OTHER
jazz fusion,art rock,16,OTHER
texas country,alternative country,30,COUNTRY
britpop,britpop,35,OTHER
reggae,dub,15,OTHER
hard bop,bebop,18,OTHER
jazz,bebop,24,OTHER
roots worship,anthem worship,11,OTHER
deep new americana,alternative country,12,OTHER
anthem emo,alternative emo,24,OTHER
pixie,candy pop,5,OTHER
philly soul,classic soul,24,R&B
hip house,hip house,15,OTHER
progressive metal,alternative metal,17,OTHER
glam rock,album rock,17,OTHER
post-punk,alternative rock,24,OTHER
bluegrass,bluegrass,12,OTHER
brostep,brostep,9,ELECTRONIC
deep southern trap,deep southern trap,16,OTHER
ska punk,melodic hardcore,6,ROCK
west coast rap,g funk,34,HIP HOP
christian pop,anthem worship,22,OTHER
mathcore,alternative metal,7,OTHER
melancholia,alternative rock,13,OTHER
experimental rock,alternative rock,15,OTHER
new rave,alternative dance,80,OTHER
christian rock,christian alternative rock,20,OTHER
old school thrash,alternative metal,9,OTHER
diva house,diva house,15,OTHER
modern blues,blues,27,OTHER
swing,adult standards,19,OTHER
christian metal,christian hardcore,9,OTHER
funk metal,alternative metal,26,OTHER
experimental,art rock,8,OTHER
power metal,album rock,10,OTHER
ectofolk,ectofolk,10,OTHER
traditional country,country,39,OTHER
metropopolis,alternative dance,10,OTHER
broadway,broadway,31,OTHER
modern country rock,contemporary country,97,COUNTRY
modern blues rock,blues-rock,9,OTHER
gospel,gospel,64,OTHER
reggaeton flow,latin,19,LATIN
modern alternative rock,modern alternative rock,11,ROCK
melodic hardcore,alternative emo,14,OTHER
deep disco,deep disco,31,OTHER
latin arena pop,latin,14,OTHER
neo classical metal,album rock,8,OTHER
stoner metal,alternative metal,12,OTHER
garage psych,alternative rock,6,OTHER
underground hip hop,alternative hip hop,19,HIP HOP
indie pop rap,indie pop rap,14,OTHER
la indie,indie pop,6,OTHER
deep ccm,anthem worship,12,OTHER
big band,adult standards,10,OTHER
christian hardcore,christian hardcore,15,OTHER
djent,djent,8,OTHER
slow core,alternative rock,18,OTHER
baroque pop,baroque pop,12,OTHER
shimmer pop,alternative dance,17,OTHER
sludge metal,alternative metal,11,OTHER
alternative r&b,alternative r&b,37,R&B
soundtrack,british soundtrack,12,OTHER
ska,dance rock,5,OTHER
girl group,girl group,12,OTHER
classic canadian rock,classic canadian rock,20,OTHER
boom bap,alternative hip hop,16,OTHER
chicago rap,chicago rap,21,HIP HOP
crossover thrash,crossover thrash,13,OTHER
noise rock,alternative rock,18,OTHER
duranguense,banda,13,OTHER
house,big room,8,ELECTRONIC
minneapolis sound,disco,8,OTHER
christian hip hop,christian hip hop,18,OTHER
industrial,alternative metal,4,OTHER
melodic death metal,alternative metal,11,OTHER
dub,dub,15,OTHER
american folk revival,american folk revival,20,OTHER
gbvfi,alternative pop,11,OTHER
hard alternative,alternative metal,12,OTHER
indie punk,alternative rock,5,OTHER
british soul,british soul,26,R&B
classic soundtrack,classic soundtrack,35,OTHER
cali rap,cali rap,20,HIP HOP
contemporary gospel,contemporary gospel,18,OTHER
disco house,disco house,9,OTHER
neo-synthpop,alternative dance,14,OTHER
detroit hip hop,detroit hip hop,13,HIP HOP
downtempo,downtempo,9,OTHER
soul blues,blues,8,OTHER
classic girl group,brill building pop,14,OTHER
epicore,epicore,7,OTHER
canadian singer-songwriter,canadian singer-songwriter,3,OTHER
chicano rap,chicano rap,26,HIP HOP
screamo,metalcore,18,ROCK
uk pop,dance pop,48,OTHER
brooklyn indie,brooklyn indie,6,OTHER
nu gaze,alternative dance,13,OTHER
hardcore punk,crossover thrash,5,OTHER
neo-psychedelic,alternative rock,6,OTHER
contemporary jazz,contemporary jazz,8,OTHER
dancehall,dancehall,19,OTHER
cumbia,banda,11,LATIN
ranchera,banda,10,OTHER
rockabilly,adult standards,40,OTHER
latin jazz,boogaloo,9,OTHER
brutal death metal,brutal death metal,6,OTHER
british soundtrack,british soundtrack,14,OTHER
christian punk,christian alternative rock,7,OTHER
lovers rock,dancehall,7,OTHER
deep soft rock,deep soft rock,21,OTHER
memphis hip hop,crunk,8,HIP HOP
post-metal,alternative metal,7,OTHER
progressive electro house,big room,17,OTHER
miami hip hop,miami hip hop,5,HIP HOP
nu jazz,acid jazz,5,OTHER
exotica,adult standards,3,OTHER
neo-progressive,album rock,5,OTHER
roots americana,alternative country,6,OTHER
easycore,alternative emo,7,OTHER
neo r&b,neo r&b,6,OTHER
canadian rock,alternative metal,9,OTHER
chamber psych,alternative rock,4,OTHER
jazz saxophone,bebop,8,OTHER
british folk,british folk,11,OTHER
northern soul,northern soul,15,OTHER
country rap,country rap,14,HIP HOP
hi-nrg,disco,6,OTHER
smooth jazz,jazz funk,15,OTHER
salsa,boogaloo,7,LATIN
candy pop,candy pop,34,POP
punk blues,garage rock,10,OTHER
funk rock,alternative metal,9,OTHER
houston rap,dirty south rap,7,OTHER
jazz blues,jazz blues,6,OTHER
progressive bluegrass,bluegrass,11,OTHER
doom metal,alternative metal,5,OTHER
no wave,alternative rock,6,OTHER
christian relaxative,christian music,4,OTHER
cosmic american,cosmic american,7,OTHER
avant-garde jazz,avant-garde jazz,11,OTHER
regional mexican,banda,41,OTHER
madchester,britpop,7,OTHER
jazz electric bass,jazz electric bass,4,OTHER
new orleans rap,deep southern trap,4,OTHER
progressive house,big room,17,ELECTRONIC
deep big room,big room,10,OTHER
canadian indie,canadian indie,11,OTHER
canadian pop,canadian pop,18,POP
acoustic blues,acoustic blues,9,OTHER
experimental pop,alternative dance,5,OTHER
indie surf,alternative dance,3,OTHER
indie r&b,alternative r&b,10,OTHER
indie garage rock,alternative rock,4,OTHER
comic,comic,31,OTHER
classical,classical,17,OTHER
appalachian folk,appalachian folk,7,OTHER
banjo,banjo,8,OTHER
old-time,appalachian folk,6,OTHER
australian rock,australian rock,14,OTHER
free jazz,avant-garde jazz,5,OTHER
battle rap,battle rap,15,HIP HOP
boogaloo,boogaloo,9,OTHER
canadian country,alberta country,7,OTHER
reggae fusion,reggae fusion,20,OTHER
post-doom metal,doom metal,3,OTHER
complextro,big room,3,ELECTRONIC
philly rap,philly rap,4,OTHER
escape room,alternative r&b,11,OTHER
talent show,dance pop,6,OTHER
rock en espanol,latin,8,OTHER
country blues,blues,4,OTHER
christian uplift,anthem worship,5,OTHER
ballroom,ballroom,6,OTHER
emo punk,alternative emo,3,OTHER
math rock,alternative rock,4,OTHER
synthpop,dance rock,43,ELECTRONIC
christian indie,anthem worship,5,OTHER
soul jazz,bebop,16,OTHER
chicago blues,blues,5,OTHER
mambo,boogaloo,8,OTHER
deathgrind,brutal death metal,6,OTHER
new jersey rap,new jersey rap,5,HIP HOP
gothic rock,dance rock,5,OTHER
old school dancehall,dancehall,11,OTHER
deep east coast hip hop,deep east coast hip hop,8,OTHER
pop edm,big room,7,OTHER
freestyle,freestyle,44,ELECTRONIC
skate punk,emo,8,OTHER
alternative pop rock,alternative pop rock,10,OTHER
celtic,celtic,14,OTHER
mexican pop,latin,7,LATIN
abstract hip hop,abstract hip hop,13,OTHER
afrobeat,afrobeat,9,OTHER
harmonica blues,acoustic blues,6,OTHER
alberta country,alberta country,7,OTHER
instrumental rock,album rock,7,OTHER
hardcore,alternative metal,4,OTHER
garage pop,alternative rock,3,OTHER
psychedelic folk,psychedelic folk,4,OTHER
symphonic rock,album rock,53,OTHER
bachata,bachata,7,LATIN
psychedelic blues-rock,psychedelic blues-rock,6,OTHER
cuban rumba,boogaloo,5,OTHER
boston rock,boston rock,5,OTHER
opera,classical soprano,5,OTHER
drill,chicago rap,4,OTHER
nu-metalcore,deathcore,2,OTHER
post-post-hardcore,metalcore,4,OTHER
classical performance,classical performance,13,OTHER
modern ska punk,modern ska punk,4,OTHER
rock steady,dub,6,OTHER
german metal,german metal,3,OTHER
k-pop,k-pop,10,OTHER
southern soul,classic soul,61,OTHER
breakbeat,big beat,5,OTHER
progressive trance,big room,3,OTHER
electroclash,alternative dance,7,OTHER
black metal,black metal,5,OTHER
gothic metal,alternative metal,4,OTHER
electro-industrial,dark wave,4,OTHER
arkansas country,arkansas country,13,OTHER
british singer-songwriter,british singer-songwriter,4,OTHER
louisiana blues,louisiana blues,3,OTHER
afropop,afropop,6,OTHER
canadian metal,album rock,6,OTHER
stomp and holler,alternative country,29,OTHER
intelligent dance music,alternative dance,3,OTHER
filter house,alternative dance,5,OTHER
canadian ccm,anthem worship,3,OTHER
baltimore indie,art pop,4,OTHER
atl trap,atl hip hop,5,OTHER
jazz piano,bebop,4,OTHER
bossa nova,bossa nova,12,OTHER
bass trap,bass trap,7,OTHER
jazz organ,jazz organ,4,OTHER
bolero,bolero,9,OTHER
indie anthem-folk,acoustic pop,3,OTHER
german techno,bubblegum dance,6,OTHER
classical soprano,classical soprano,6,OTHER
redneck,contemporary country,21,OTHER
swedish death metal,alternative metal,4,OTHER
deep freestyle,deep freestyle,7,OTHER
dirty texas rap,dirty south rap,8,OTHER
tribal house,disco house,2,OTHER
drone metal,doom metal,4,OTHER
miami bass,miami bass,12,OTHER
sertanejo pop,funk carioca,2,OTHER
psychobilly,horror punk,3,OTHER
melodic thrash,alternative metal,2,OTHER
modern southern rock,modern southern rock,11,OTHER
sertanejo,sertanejo,3,OTHER
hardcore techno,big beat,3,OTHER
canadian contemporary country,alberta country,5,OTHER
latin metal,alternative metal,6,OTHER
celtic rock,celtic,7,OTHER
ebm,dark wave,4,OTHER
gothic symphonic metal,gothic metal,3,OTHER
acid house,acid house,7,OTHER
chicago house,chicago house,8,OTHER
acid jazz,acid jazz,12,OTHER
indie jazz,acid jazz,3,OTHER
deep adult standards,deep adult standards,11,OTHER
alabama metal,alabama metal,6,OTHER
nintendocore,metalcore,2,OTHER
progressive metalcore,deathcore,3,OTHER
german hard rock,album rock,3,OTHER
chaotic hardcore,alternative emo,3,OTHER
jazz rap,alternative hip hop,10,OTHER
