genre,main_genre,artists,degree,strength,betweenness,hits_hub,hits_authority
rock,ROCK,234,172,4071,167533.75,1,1
folk rock,ROCK,89,105,2846,47254,0.8157765756233515,0.8157765756233513
singer-songwriter,FOLK,54,140,2742,14438,0.7202976029039938,0.7202976029039937
modern rock,ROCK,62,153,2723,60470.42619047617,0.35321466245539646,0.3532146624553968
mellow gold,POP,145,96,2591,33746,0.8367316431032773,0.8367316431032766
indie rock,ROCK,69,128,2517,16615.50952380952,0.3433058207037661,0.3433058207037655
folk-pop,POP,46,145,2427,29077.00952380952,0.36673900299499246,0.3667390029949923
hip hop,HIP HOP,94,83,2407,34928.5,0.04904963756283031,0.049049637562830116
classic rock,ROCK,172,95,2390,7608,0.7746456146583193,0.7746456146583189
rap,HIP HOP,52,74,2254,7106,0.04800400449732478,0.048004004497324906
album rock,ROCK,305,86,2197,9867,0.7375053140102712,0.7375053140102715
pop rap,POP,72,82,2191,54126,0.05151335167826282,0.05151335167826299
alternative rock,ROCK,135,137,2190,23824.5,0.3365329081504244,0.3365329081504245
soft rock,ROCK,136,79,2169,32622,0.7272653657673038,0.7272653657673038
dance pop,POP,280,125,2145,130638.25,0.08339607097964256,0.08339607097964268
pop,POP,189,133,2109,80209.16666666666,0.07110041855119405,0.0711004185511939
indie pop,POP,45,116,2061,10565.576190476191,0.2687362750104382,0.26873627501043806
art rock,ROCK,97,119,2059,26061.083333333332,0.5347917766898678,0.5347917766898677
roots rock,ROCK,75,100,1924,11422,0.5326375835489304,0.5326375835489304
country rock,COUNTRY,47,85,1904,24694,0.4868156667934199,0.48681566679341975
indie folk,FOLK,34,117,1870,3380.2095238095235,0.2761776856541481,0.27617768565414785
southern hip hop,HIP HOP,65,62,1858,3080,0.040419445121937805,0.04041944512193802
folk,FOLK,47,97,1823,17,0.5213395450669533,0.5213395450669529
pop rock,POP,37,129,1702,108427,0.28119771965003504,0.2811977196500348
hard rock,ROCK,164,89,1696,8778.333333333334,0.4750967002197394,0.47509670021973927
urban contemporary,R&B,79,56,1675,46932,0.05691714448696157,0.05691714448696153
quiet storm,R&B,67,61,1611,46456,0.08048065189338292,0.08048065189338291
dance rock,ROCK,81,95,1607,6288,0.3413690141853174,0.34136901418531723
new wave pop,POP,68,96,1581,18783.75,0.3532345759198366,0.35323457591983676
gangster rap,HIP HOP,35,55,1572,5942,0.02901560624249112,0.02901560624249117
new wave,ROCK,64,96,1519,3286,0.3039131092920609,0.3039131092920607
blues-rock,ROCK,76,89,1487,10007,0.4342788219392072,0.43427882193920675
alternative metal,ROCK,275,94,1479,39573.66666666666,0.1429146065435032,0.14291460654350313
funk,R&B,78,89,1430,35343.5,0.08210784412365416,0.08210784412365417
soul,R&B,77,76,1404,8698.5,0.08311260080405407,0.08311260080405408
chamber pop,POP,35,104,1399,2825.2928571428574,0.2019891431690746,0.2019891431690742
psychedelic rock,ROCK,55,87,1392,6391,0.3948379584963284,0.394837958496328
indietronica,ROCK,66,94,1342,13577.95,0.13914587119150057,0.13914587119150035
r&b,R&B,80,43,1337,1228,0.04305005559629249,0.04305005559629261
stomp and holler,ROCK,29,91,1325,30.192857142857143,0.20361824670293788,0.20361824670293785
trap music,HIP HOP,58,47,1310,4740.5,0.029523124206626037,0.029523124206626172
brill building pop,POP,110,56,1206,34885,0.21423783203054492,0.21423783203054483
post-grunge,ROCK,173,72,1179,46239,0.15561460947028535,0.1556146094702853
hip pop,POP,65,45,1173,6,0.03446036105302827,0.034460361053028264
nu metal,METAL,197,70,1160,7077.166666666668,0.11260947558868377,0.11260947558868363
motown,R&B,78,53,1160,30321,0.08676712579821572,0.08676712579821569
disco,ELECTRONIC,94,63,1149,23258,0.10837822576990917,0.10837822576990917
garage rock,ROCK,48,104,1137,5636.666666666666,0.181900878285792,0.18190087828579196
adult standards,POP,207,67,1093,60838.5,0.18711864098472303,0.1871186409847228
noise pop,POP,31,87,1080,4756.666666666666,0.12367412460918956,0.12367412460918946
bubblegum pop,POP,89,53,1077,998,0.26595541180541993,0.2659554118054198
art pop,POP,49,90,1065,3418,0.13796003343861193,0.137960033438612
new rave,ELECTRONIC,80,81,1042,14054.699999999999,0.11407933023748332,0.11407933023748323
freak folk,FOLK,23,76,1018,3776.083333333333,0.13225279342970764,0.13225279342970775
new romantic,ROCK,68,59,1001,431.5,0.2253184659494484,0.2253184659494482
country,COUNTRY,167,33,970,13795,0.053531302290789035,0.053531302290789014
new jack swing,R&B,37,37,969,134,0.03448671241237467,0.03448671241237469
neo soul,R&B,42,55,967,2841,0.03361742204218141,0.03361742204218142
lo-fi,ELECTRONIC,35,80,959,3,0.12571667183701699,0.12571667183701704
classic soul,R&B,144,39,940,964,0.049365994450293244,0.049365994450293216
metal,METAL,54,77,926,33464.833333333336,0.1444825677150941,0.14448256771509407
hardcore hip hop,HIP HOP,66,39,921,1915.5,0.016928949766614496,0.016928949766614482
dance-punk,ROCK,54,92,893,180.36666666666667,0.1081267027329243,0.10812670273292428
traditional folk,FOLK,31,70,892,4306,0.24285309741238686,0.24285309741238656
classic uk pop,POP,69,54,880,3780,0.23797476134976206,0.23797476134976206
outlaw country,COUNTRY,34,41,875,1915,0.12730533864956706,0.12730533864956706
pop punk,ROCK,36,63,838,39321.5,0.03985983080928534,0.03985983080928536
groove metal,METAL,83,59,829,6406.166666666667,0.06224802610727841,0.06224802610727843
