name,primary_main_genre,artist_count,macro_genre
hip hop,alternative hip hop,94,HIP HOP
pop rap,dance pop,72,POP
dance pop,dance pop,280,POP
mellow gold,album rock,145,POP
album rock,album rock,305,ROCK
r&b,dance pop,80,R&B
rap,atl hip hop,52,HIP HOP
indie rock,alternative rock,69,ROCK
classic rock,album rock,172,ROCK
alternative metal,alternative metal,275,ROCK
hard rock,album rock,164,ROCK
southern hip hop,atl hip hop,65,HIP HOP
folk rock,album rock,89,ROCK
contemporary country,contemporary country,206,COUNTRY
indie pop,alternative dance,45,POP
gangster rap,alternative hip hop,35,HIP HOP
dance rock,dance rock,81,ROCK
folk,alternative country,47,FOLK
folk-pop,folk-pop,46,POP
funk,funk,78,R&B
hardcore hip hop,alternative hip hop,66,HIP HOP
country,contemporary country,167,COUNTRY
quiet storm,classic soul,67,R&B
hip pop,dance pop,65,POP
new jack swing,new jack swing,37,R&B
new romantic,dance rock,68,ROCK
pop,dance pop,189,POP
blues-rock,album rock,76,ROCK
rock,album rock,234,ROCK
nu metal,alternative metal,197,METAL
new wave,dance rock,64,ROCK
motown,classic soul,78,R&B
indie folk,alternative country,34,FOLK
neo soul,dance pop,42,R&B
classic soul,classic soul,144,R&B
art rock,album rock,97,ROCK
disco,disco,94,ELECTRONIC
dirty south rap,dirty south rap,48,HIP HOP
alternative rock,alternative rock,135,ROCK
roots rock,alternative country,75,ROCK
christian music,anthem worship,59,R&B
bubblegum pop,bubblegum pop,89,POP
christian alternative rock,anthem worship,48,ROCK
ccm,anthem worship,69,R&B
neo mellow,acoustic pop,65,R&B
country rock,album rock,47,COUNTRY
chamber pop,chamber pop,35,POP
glam metal,album rock,59,METAL
country road,contemporary country,146,COUNTRY
east coast hip hop,east coast hip hop,53,HIP HOP
nashville sound,country,35,COUNTRY
indietronica,alternative dance,66,ROCK
emo,emo,42,ROCK
brill building pop,brill building pop,110,POP
singer-songwriter,album rock,54,FOLK
alternative hip hop,alternative hip hop,111,HIP HOP
garage rock,alternative rock,48,ROCK
new wave pop,dance rock,68,POP
modern rock,alternative rock,62,ROCK
soul,classic soul,77,R&B
adult standards,adult standards,207,POP
post-disco,disco,51,ROCK
post-grunge,alternative metal,173,ROCK
melodic metalcore,deathcore,24,METAL
metalcore,deathcore,20,METAL
outlaw country,alternative country,34,COUNTRY
country gospel,country gospel,48,COUNTRY
psychedelic rock,album rock,55,ROCK
pop rock,alternative rock,37,POP
alternative dance,alternative dance,93,ROCK
groove metal,alternative metal,83,METAL
alternative country,alternative country,88,COUNTRY
rock-and-roll,adult standards,58,ROCK
metal,album rock,54,METAL
permanent wave,alternative rock,31,ROCK
progressive rock,album rock,39,ROCK
anthem worship,anthem worship,73,R&B
latin,latin,60,LATIN
freak folk,alternative rock,23,FOLK
dance-punk,alternative dance,54,ROCK
atl hip hop,atl hip hop,92,HIP HOP
acoustic pop,acoustic pop,79,POP
new americana,alternative country,45,COUNTRY
electropop,alternative dance,29,POP
merseybeat,brill building pop,33,ROCK
easy listening,adult standards,54,POP
lilith,alternative country,16,POP
classic uk pop,classic uk pop,69,POP
art pop,art pop,49,POP
post-teen pop,dance pop,106,POP
deep pop r&b,dance pop,25,POP
edm,big room,30,ELECTRONIC
cowboy western,country gospel,29,COUNTRY
world worship,anthem worship,41,R&B
neon pop punk,emo,16,ROCK
industrial metal,alternative metal,51,METAL
chillwave,alternative dance,24,ELECTRONIC
heartland rock,album rock,38,ROCK
lo-fi,alternative rock,35,ELECTRONIC
jangle pop,jangle pop,18,POP
electric blues,blues,36,BLUES
jazz funk,jazz funk,28,R&B
blues,blues,43,BLUES
soft rock,album rock,136,ROCK
pop punk,emo,36,ROCK
classic garage rock,classic garage rock,36,ROCK
deathcore,deathcore,24,METAL
conscious hip hop,conscious hip hop,35,HIP HOP
dream pop,alternative dance,17,POP
punk,alternative rock,15,ROCK
g funk,g funk,43,HIP HOP
europop,bubblegum dance,25,POP
british invasion,british invasion,20,POP
pop emo,emo,12,POP
crunk,crunk,23,HIP HOP
banda,banda,41,LATIN
lounge,adult standards,90,JAZZ
norteno,banda,37,LATIN
scorecore,scorecore,15,METAL
protopunk,album rock,12,ROCK
grupera,banda,34,LATIN
bebop,bebop,26,JAZZ
cool jazz,bebop,24,JAZZ
doo-wop,adult standards,24,R&B
post-hardcore,emo,10,ROCK
alternative emo,alternative emo,42,ROCK
power pop,alternative country,17,POP
speed metal,alternative metal,15,METAL
eurodance,eurodance,20,ELECTRONIC
contemporary post-bop,bebop,22,ROCK
